feature_names,feature_importance
horsepower,11.363253565790503
year,10.409200574258755
mileage,10.30825537266939
back_legroom,6.832400722984201
horsepower_rpm,6.737024395493849
wheel_system_display,6.462045440171088
front_legroom,6.300876879313081
width,5.768249890871915
height,5.476861201966782
wheelbase,3.7104496960705897
savings_amount,2.862020254746859
highway_fuel_economy,2.6715172435447703
State,2.598593499417895
body_type,2.2338233433286008
engine_displacement,2.1853215387423344
length,1.9884002784688206
daysonmarket,1.9615980187376263
maximum_seating,1.877566310263999
fuel_tank_volume,1.7841978591876826
city_fuel_economy,1.4103900016527453
torque,1.3036233925140623
torque_rpm,1.1719758277954455
listing_color,1.1512751318894008
listed_date_yearMonth,0.6677583431186809
fuel_type,0.3390117137419871
transmission,0.23248773726797234
is_new,0.1918217659909714
