feature_names,feature_importance
mileage,14.269790683134145
horsepower,13.159609609102295
width,6.777197457171701
wheel_system_display,6.394546867882535
back_legroom,6.211241045001516
horsepower_rpm,6.154234607661316
height,5.933038461639052
front_legroom,5.453759457192751
year,4.123082059404384
State,3.2974675550710253
wheelbase,3.2856814061002364
highway_fuel_economy,2.815828794754619
savings_amount,2.647627565606826
maximum_seating,2.167822436631662
body_type,2.1634620801199222
engine_displacement,2.1189424037677815
daysonmarket,2.050364823082697
length,1.5333408395120425
torque,1.5269897881517238
listing_color,1.5047811899376267
city_fuel_economy,1.4741208187011055
torque_rpm,1.431640750274298
is_new,1.083315231767173
fuel_tank_volume,0.9554295800020876
listed_date_yearMonth,0.839538595514652
fuel_type,0.3629279201796126
transmission,0.2642179726352182
