feature_names,feature_importance
horsepower,13.612800261709868
year,9.939489290196704
mileage,8.492097860911949
wheel_system_display,6.796480357879573
back_legroom,6.70888729676816
horsepower_rpm,6.587111213549622
width,6.298889495360913
front_legroom,5.714237880663927
height,4.611040301284111
body_type,3.2194873020701826
engine_displacement,2.730330682662318
wheelbase,2.569616579592766
State,2.490076364948018
maximum_seating,2.1268786774876096
savings_amount,2.120176132199991
length,2.0711017833512284
daysonmarket,1.886429649382054
highway_fuel_economy,1.8515405275415635
fuel_tank_volume,1.8447781222386097
city_fuel_economy,1.7614446057746171
is_new,1.4475304185284845
torque,1.362917502616589
torque_rpm,1.2481873079236843
listing_color,1.144988183865632
listed_date_yearMonth,0.710797182903332
fuel_type,0.3507473102927448
transmission,0.30193770829574795
