iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
487,2548.5067729848247,2023-01-28 10:13:14.713609,2023-01-28 10:13:28.025489,0 days 00:00:13.311880,9,0.79,9,600,750,325,0.95,COMPLETE
149,2548.518496817668,2023-01-28 08:36:37.503637,2023-01-28 08:36:50.370635,0 days 00:00:12.866998,9,0.79,9,600,750,325,0.95,COMPLETE
133,2548.600312482888,2023-01-28 08:31:48.461762,2023-01-28 08:32:00.691564,0 days 00:00:12.229802,9,0.79,9,600,750,375,0.95,COMPLETE
372,2548.635723530281,2023-01-28 09:38:50.469377,2023-01-28 09:39:02.290340,0 days 00:00:11.820963,9,0.79,9,600,750,300,0.95,COMPLETE
322,2549.171629172611,2023-01-28 09:25:07.599535,2023-01-28 09:25:20.962686,0 days 00:00:13.363151,9,0.79,9,600,750,375,0.95,COMPLETE
78,2549.173459728833,2023-01-28 08:16:15.961290,2023-01-28 08:16:28.200710,0 days 00:00:12.239420,9,0.79,9,600,750,375,0.95,COMPLETE
272,2549.175152015873,2023-01-28 09:11:19.972374,2023-01-28 09:11:41.529424,0 days 00:00:21.557050,9,0.79,9,600,750,350,0.95,COMPLETE
106,2549.176113395775,2023-01-28 08:23:49.916342,2023-01-28 08:24:02.485738,0 days 00:00:12.569396,9,0.79,9,600,750,300,0.95,COMPLETE
206,2549.17719451909,2023-01-28 08:52:24.507525,2023-01-28 08:53:05.331270,0 days 00:00:40.823745,9,0.79,9,600,750,325,0.95,COMPLETE
77,2549.177685210641,2023-01-28 08:15:58.311665,2023-01-28 08:16:10.604982,0 days 00:00:12.293317,9,0.79,9,600,750,375,0.95,COMPLETE
244,2549.1801086064124,2023-01-28 09:02:56.828731,2023-01-28 09:03:08.506360,0 days 00:00:11.677629,9,0.79,9,600,750,375,0.95,COMPLETE
30,2549.1803355844713,2023-01-28 08:03:19.060580,2023-01-28 08:03:31.364287,0 days 00:00:12.303707,9,0.79,9,600,750,300,0.95,COMPLETE
