iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
466,2547.837951663505,2023-01-28 06:48:17.404182,2023-01-28 06:48:31.528273,0 days 00:00:14.124091,9,0.77,9,600,750,325,0.95,COMPLETE
288,2547.893966290371,2023-01-28 05:44:31.966188,2023-01-28 05:44:54.585329,0 days 00:00:22.619141,9,0.77,9,600,750,325,0.95,COMPLETE
353,2548.300290392867,2023-01-28 06:07:08.859636,2023-01-28 06:07:27.259516,0 days 00:00:18.399880,9,0.77,9,600,750,325,0.95,COMPLETE
170,2548.6045649372027,2023-01-28 05:03:35.398562,2023-01-28 05:03:49.752339,0 days 00:00:14.353777,9,0.79,9,600,750,325,0.95,COMPLETE
279,2548.9368038591633,2023-01-28 05:40:50.361278,2023-01-28 05:41:04.198753,0 days 00:00:13.837475,9,0.77,9,600,750,325,0.95,COMPLETE
293,2549.0198512653633,2023-01-28 05:46:26.937049,2023-01-28 05:46:41.501940,0 days 00:00:14.564891,9,0.77,9,600,750,325,0.95,COMPLETE
153,2549.1721550324487,2023-01-28 04:58:22.534666,2023-01-28 04:58:37.487930,0 days 00:00:14.953264,9,0.79,9,600,750,325,0.95,COMPLETE
117,2549.173611137414,2023-01-28 04:46:39.772756,2023-01-28 04:46:55.054912,0 days 00:00:15.282156,9,0.79,9,600,750,325,0.95,COMPLETE
481,2549.1752830820674,2023-01-28 06:53:02.571859,2023-01-28 06:53:17.275724,0 days 00:00:14.703865,9,0.79,9,600,750,325,0.95,COMPLETE
106,2549.1760155028915,2023-01-28 04:42:43.289534,2023-01-28 04:43:14.216887,0 days 00:00:30.927353,9,0.79,9,600,750,325,0.95,COMPLETE
456,2549.1794926272573,2023-01-28 06:44:52.398396,2023-01-28 06:45:06.936960,0 days 00:00:14.538564,9,0.79,9,600,750,325,0.95,COMPLETE
103,2549.179961955953,2023-01-28 04:41:42.018467,2023-01-28 04:41:57.209035,0 days 00:00:15.190568,9,0.79,9,600,750,325,0.95,COMPLETE
250,2549.1799687758817,2023-01-28 05:30:16.664948,2023-01-28 05:30:32.241528,0 days 00:00:15.576580,9,0.79,9,600,750,300,0.95,COMPLETE
195,2549.1826005712055,2023-01-28 05:11:29.559259,2023-01-28 05:11:45.105821,0 days 00:00:15.546562,9,0.79,9,600,750,325,0.95,COMPLETE
479,2549.1826277875766,2023-01-28 06:52:28.051978,2023-01-28 06:52:41.982665,0 days 00:00:13.930687,9,0.79,9,600,750,325,0.95,COMPLETE
141,2549.1828175599385,2023-01-28 04:54:30.251696,2023-01-28 04:54:44.848754,0 days 00:00:14.597058,9,0.79,9,600,750,325,0.95,COMPLETE
243,2549.18399277711,2023-01-28 05:27:36.605364,2023-01-28 05:27:53.044037,0 days 00:00:16.438673,9,0.79,9,600,750,325,0.95,COMPLETE
221,2549.1845537203058,2023-01-28 05:19:56.370488,2023-01-28 05:20:10.314374,0 days 00:00:13.943886,9,0.79,9,600,750,325,0.95,COMPLETE
233,2549.1858668526497,2023-01-28 05:23:53.452552,2023-01-28 05:24:08.065230,0 days 00:00:14.612678,9,0.79,9,600,750,325,0.95,COMPLETE
214,2549.1862376899644,2023-01-28 05:17:38.983709,2023-01-28 05:17:54.395296,0 days 00:00:15.411587,9,0.79,9,600,750,325,0.95,COMPLETE
447,2549.190213512385,2023-01-28 06:41:43.777767,2023-01-28 06:41:58.788570,0 days 00:00:15.010803,9,0.79,9,600,750,325,0.95,COMPLETE
21,2549.190939052889,2023-01-28 04:15:04.954735,2023-01-28 04:15:19.318263,0 days 00:00:14.363528,9,0.79,9,600,750,300,0.95,COMPLETE
459,2549.1919436847056,2023-01-28 06:45:56.402033,2023-01-28 06:46:11.340207,0 days 00:00:14.938174,9,0.79,9,600,750,325,0.95,COMPLETE
82,2549.1927284011067,2023-01-28 04:34:46.972872,2023-01-28 04:35:01.735629,0 days 00:00:14.762757,9,0.79,9,600,750,325,0.95,COMPLETE
381,2549.193693537059,2023-01-28 06:18:16.279110,2023-01-28 06:18:31.771965,0 days 00:00:15.492855,9,0.79,9,600,750,300,0.95,COMPLETE
43,2549.195048028464,2023-01-28 04:21:45.642936,2023-01-28 04:21:59.784259,0 days 00:00:14.141323,9,0.79,9,600,750,325,0.95,COMPLETE
