iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
97,2635.708451786409,2023-01-26 03:46:55.132044,2023-01-26 03:47:30.556256,0 days 00:00:35.424212,8,0.7886023782336202,0.022491964269589732,0.001529123062791912,0.007936805701589712,11,543,926,353,0.9377605888796087,COMPLETE
92,2635.8047524285244,2023-01-26 03:42:00.601551,2023-01-26 03:42:36.181486,0 days 00:00:35.579935,8,0.785660790288176,0.022298445469528527,0.001567789784371989,0.007918572915272494,11,544,925,353,0.9482876980165855,COMPLETE
91,2635.9076765368677,2023-01-26 03:40:57.316830,2023-01-26 03:41:31.959145,0 days 00:00:34.642315,8,0.7855123513508105,0.02226741606275873,0.001559465185212884,0.00792427007027185,11,544,925,352,0.9477606049330336,COMPLETE
64,2636.1831510686507,2023-01-26 03:15:06.565669,2023-01-26 03:15:42.957716,0 days 00:00:36.392047,8,0.7887515141345963,0.022074419962709233,0.0014916930582801612,0.007878954902442854,11,545,928,350,0.9454005427372357,COMPLETE
94,2636.328000590578,2023-01-26 03:43:54.583476,2023-01-26 03:44:30.840139,0 days 00:00:36.256663,8,0.7852984033886291,0.022295792524922902,0.0015488556646502483,0.007908412672920726,11,544,925,353,0.9415226341416345,COMPLETE
85,2636.5191725039635,2023-01-26 03:35:22.402025,2023-01-26 03:35:57.734539,0 days 00:00:35.332514,8,0.7885824919939755,0.02209956422362944,0.001413555211491428,0.007913489831798959,11,545,928,351,0.9467200820393386,COMPLETE
78,2636.562300432729,2023-01-26 03:28:32.941912,2023-01-26 03:29:08.263165,0 days 00:00:35.321253,8,0.7825367230600219,0.022430657115516367,0.0013360260705568491,0.00788309378115004,11,545,928,351,0.9468785807538137,COMPLETE
87,2636.6801882942423,2023-01-26 03:37:08.134866,2023-01-26 03:37:45.773458,0 days 00:00:37.638592,8,0.7887431061662621,0.022522242742981997,0.0015025208811089762,0.007921215632560936,11,547,929,353,0.9478400560737689,COMPLETE
69,2636.7196679933054,2023-01-26 03:20:36.462968,2023-01-26 03:21:12.221554,0 days 00:00:35.758586,8,0.7851274076459202,0.022201149192103052,0.0013651238879839897,0.007899915065005746,11,545,926,351,0.9467851838086975,COMPLETE
72,2636.862513183403,2023-01-26 03:23:20.821281,2023-01-26 03:23:53.745101,0 days 00:00:32.923820,8,0.7856699324584802,0.021784478640537137,0.0014011556976618888,0.007856347976086383,11,545,927,350,0.9416719339066325,COMPLETE
45,2636.9001052121125,2023-01-26 02:58:05.881878,2023-01-26 02:58:37.383717,0 days 00:00:31.501839,8,0.7923075687003751,0.02103264016291523,0.0018593891651389014,0.007908956673546593,11,547,932,354,0.9344707958689106,COMPLETE
90,2637.0302512999983,2023-01-26 03:40:02.136176,2023-01-26 03:40:35.800446,0 days 00:00:33.664270,8,0.7854681007968031,0.022301447533823408,0.0015577228036865334,0.00791994472594987,11,544,925,353,0.9474509862549677,COMPLETE
82,2637.1134697014804,2023-01-26 03:32:34.162909,2023-01-26 03:33:13.221693,0 days 00:00:39.058784,8,0.7808170129706411,0.022627151528759652,0.0014577782210189942,0.00788604825403563,11,546,929,350,0.9466955295709567,COMPLETE
61,2637.1231950869123,2023-01-26 03:12:34.819630,2023-01-26 03:13:11.986075,0 days 00:00:37.166445,8,0.7897815558057867,0.021973269761441695,0.0015020687337152375,0.007876790403882287,11,545,929,351,0.9458120780584992,COMPLETE
65,2637.186839894166,2023-01-26 03:16:32.057578,2023-01-26 03:17:09.565669,0 days 00:00:37.508091,8,0.7881918359765365,0.02251158433351008,0.0014690367940765894,0.007891081509185369,11,546,929,351,0.9469069864324682,COMPLETE
95,2637.194762671659,2023-01-26 03:45:08.497325,2023-01-26 03:45:41.798519,0 days 00:00:33.301194,8,0.7866864227497677,0.021324078108276707,0.0016562851563717384,0.007908045151639946,11,543,925,352,0.943164535844983,COMPLETE
68,2637.2136888466353,2023-01-26 03:19:33.955061,2023-01-26 03:20:06.970328,0 days 00:00:33.015267,8,0.7861058688233838,0.022121773655971056,0.0013865467969442957,0.007888365509115309,11,545,928,350,0.946144527436939,COMPLETE
59,2637.243126037114,2023-01-26 03:10:33.892627,2023-01-26 03:11:08.642082,0 days 00:00:34.749455,8,0.7906477203345358,0.021504917918505416,0.001591508178521427,0.007879300536898528,11,545,929,352,0.9451934891955768,COMPLETE
43,2637.2690389460395,2023-01-26 02:56:23.363214,2023-01-26 02:56:55.235692,0 days 00:00:31.872478,8,0.7934916985237557,0.02107869835361617,0.0018687805021427796,0.007897846362945247,11,545,930,357,0.9351263686587957,COMPLETE
93,2637.2870273300045,2023-01-26 03:43:12.246476,2023-01-26 03:43:46.910971,0 days 00:00:34.664495,8,0.7858456046604911,0.021714965707777714,0.0015670057681502739,0.007922472826112815,11,544,925,353,0.9485490955430639,COMPLETE
62,2637.305125244845,2023-01-26 03:13:28.467867,2023-01-26 03:14:03.625880,0 days 00:00:35.158013,8,0.7891691621427758,0.021874339892692714,0.0015150309889491122,0.00788583292606921,11,545,929,350,0.9450745362349753,COMPLETE
99,2637.3097171315535,2023-01-26 03:48:31.984288,2023-01-26 03:49:07.757775,0 days 00:00:35.773487,9,0.788626533120321,0.023208122951127338,0.001490616161917639,0.00795686542944787,11,544,925,352,0.9428352661960276,COMPLETE
