iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
190,2407.035202162385,2023-01-28 23:54:26.137430,2023-01-28 23:54:56.315182,0 days 00:00:30.177752,9.0,0.79,11.0,500.0,1000.0,375.0,0.95,COMPLETE
166,2407.0820906241956,2023-01-28 23:38:51.586861,2023-01-28 23:39:21.046801,0 days 00:00:29.459940,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
333,2407.221078774469,2023-01-29 01:29:21.139810,2023-01-29 01:29:54.311346,0 days 00:00:33.171536,9.0,0.79,11.0,500.0,1000.0,350.0,0.95,COMPLETE
233,2407.3432096205306,2023-01-29 00:21:36.495972,2023-01-29 00:22:08.536928,0 days 00:00:32.040956,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
102,2407.4449489614676,2023-01-28 22:57:12.456824,2023-01-28 22:57:42.500914,0 days 00:00:30.044090,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
456,2407.4677883561817,2023-01-29 02:54:54.051231,2023-01-29 02:55:27.037520,0 days 00:00:32.986289,9.0,0.77,11.0,500.0,1000.0,350.0,0.95,COMPLETE
278,2407.600205681406,2023-01-29 00:52:47.691586,2023-01-29 00:53:21.423889,0 days 00:00:33.732303,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
448,2407.7068105148605,2023-01-29 02:49:13.479176,2023-01-29 02:49:46.870781,0 days 00:00:33.391605,9.0,0.79,11.0,500.0,1000.0,350.0,0.95,COMPLETE
219,2407.844443650033,2023-01-29 00:12:45.512430,2023-01-29 00:13:16.110564,0 days 00:00:30.598134,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
95,2407.8475456004403,2023-01-28 22:52:58.354296,2023-01-28 22:53:28.331138,0 days 00:00:29.976842,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
199,2407.863806988359,2023-01-28 23:59:52.002326,2023-01-29 00:00:23.128485,0 days 00:00:31.126159,9.0,0.79,11.0,500.0,1000.0,375.0,0.95,COMPLETE
284,2407.9007739305857,2023-01-29 00:56:47.660887,2023-01-29 00:57:20.204214,0 days 00:00:32.543327,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
73,2407.9185882345905,2023-01-28 22:39:04.650621,2023-01-28 22:39:34.533433,0 days 00:00:29.882812,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
67,2407.923321916276,2023-01-28 22:35:13.691166,2023-01-28 22:35:43.669123,0 days 00:00:29.977957,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
311,2407.967683658241,2023-01-29 01:14:18.874471,2023-01-29 01:14:54.301556,0 days 00:00:35.427085,9.0,0.79,11.0,500.0,1000.0,375.0,0.95,COMPLETE
164,2407.970925007014,2023-01-28 23:37:40.484948,2023-01-28 23:38:10.205450,0 days 00:00:29.720502,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
175,2407.9773409158297,2023-01-28 23:44:21.555251,2023-01-28 23:44:55.301893,0 days 00:00:33.746642,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
326,2407.9820750377435,2023-01-29 01:24:37.787143,2023-01-29 01:25:11.802780,0 days 00:00:34.015637,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
215,2407.9884529154638,2023-01-29 00:10:15.541381,2023-01-29 00:10:50.425527,0 days 00:00:34.884146,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
152,2408.110652841955,2023-01-28 23:30:32.015368,2023-01-28 23:31:01.591828,0 days 00:00:29.576460,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
183,2408.122209575384,2023-01-28 23:49:56.908335,2023-01-28 23:50:29.780553,0 days 00:00:32.872218,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
387,2408.1331404671078,2023-01-29 02:04:40.331791,2023-01-29 02:05:16.297140,0 days 00:00:35.965349,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
65,2408.1764591797532,2023-01-28 22:34:01.077965,2023-01-28 22:34:30.960291,0 days 00:00:29.882326,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
392,2408.1817376416097,2023-01-29 02:08:49.854714,2023-01-29 02:09:31.574543,0 days 00:00:41.719829,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
115,2408.1914123652687,2023-01-28 23:06:10.410101,2023-01-28 23:06:50.273348,0 days 00:00:39.863247,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
337,2408.2039393991254,2023-01-29 01:31:59.453323,2023-01-29 01:32:33.895744,0 days 00:00:34.442421,9.0,0.79,11.0,500.0,1000.0,325.0,0.95,COMPLETE
92,2408.206595487877,2023-01-28 22:51:21.257136,2023-01-28 22:51:51.107765,0 days 00:00:29.850629,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
151,2408.2215539531244,2023-01-28 23:29:58.876986,2023-01-28 23:30:27.592310,0 days 00:00:28.715324,9.0,0.79,11.0,500.0,1000.0,300.0,0.95,COMPLETE
