iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
316,2562.0934355580093,2023-01-28 15:11:53.892139,2023-01-28 15:12:09.609546,0 days 00:00:15.717407,9,0.81,9,600,750,350,0.95,COMPLETE
35,2562.093685934119,2023-01-28 13:24:58.613148,2023-01-28 13:25:27.683650,0 days 00:00:29.070502,8,0.77,9,575,750,350,0.9,COMPLETE
34,2562.2530471778136,2023-01-28 13:24:20.285184,2023-01-28 13:24:51.704927,0 days 00:00:31.419743,8,0.77,10,600,750,300,0.9,COMPLETE
1,2562.369172025233,2023-01-28 13:13:18.631003,2023-01-28 13:13:30.245665,0 days 00:00:11.614662,8,0.79,10,500,1000,325,0.95,COMPLETE
103,2562.3776112342193,2023-01-28 13:52:23.435917,2023-01-28 13:52:41.799342,0 days 00:00:18.363425,10,0.77,9,600,750,350,0.95,COMPLETE
17,2562.7170952461347,2023-01-28 13:18:12.846561,2023-01-28 13:18:25.890562,0 days 00:00:13.044001,9,0.77,9,525,1000,400,0.95,COMPLETE
33,2562.7485037408974,2023-01-28 13:24:01.293080,2023-01-28 13:24:13.493885,0 days 00:00:12.200805,8,0.77,9,575,750,325,0.9,COMPLETE
144,2563.1976633547706,2023-01-28 14:08:00.164705,2023-01-28 14:08:16.546673,0 days 00:00:16.381968,9,0.79,11,600,750,325,0.95,COMPLETE
288,2563.2980699174686,2023-01-28 15:00:46.842858,2023-01-28 15:00:59.118845,0 days 00:00:12.275987,9,0.81,9,600,750,325,0.95,COMPLETE
280,2563.386439008485,2023-01-28 14:57:14.588006,2023-01-28 14:57:28.592267,0 days 00:00:14.004261,9,0.79,9,550,750,375,0.95,COMPLETE
4,2563.3975380931,2023-01-28 13:14:16.675991,2023-01-28 13:14:28.483954,0 days 00:00:11.807963,10,0.81,11,500,750,375,0.95,COMPLETE
19,2563.5304724497373,2023-01-28 13:19:15.301717,2023-01-28 13:19:28.374145,0 days 00:00:13.072428,8,0.77,9,550,1000,300,0.9,COMPLETE
24,2563.645386460926,2023-01-28 13:20:48.177373,2023-01-28 13:21:01.095194,0 days 00:00:12.917821,8,0.77,9,575,1000,350,0.95,COMPLETE
189,2563.845445078671,2023-01-28 14:24:04.114382,2023-01-28 14:24:18.410044,0 days 00:00:14.295662,9,0.81,9,600,750,325,0.95,COMPLETE
106,2564.25423238123,2023-01-28 13:53:40.633814,2023-01-28 13:53:53.643275,0 days 00:00:13.009461,9,0.79,9,600,750,350,0.9,COMPLETE
356,2564.760170363679,2023-01-28 15:24:52.853142,2023-01-28 15:25:04.627338,0 days 00:00:11.774196,9,0.81,9,600,750,325,0.95,COMPLETE
