iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
65,2683.7423,2023-01-22 05:47:55.772323,2023-01-22 05:51:30.826584,0 days 00:03:35.054261,9.0,0.7875606291431052,0.023695664906620815,0.001246554136855555,0.007998884894321845,11.0,541.0,930.0,365.0,0.9496799267839345,COMPLETE
76,2683.9536,2023-01-22 06:27:44.172034,2023-01-22 06:31:39.784617,0 days 00:03:55.612583,9.0,0.7860126510602835,0.02300125264287037,0.0015221195300445017,0.007968335805050521,11.0,540.0,929.0,357.0,0.9498378248476649,COMPLETE
71,2684.2113,2023-01-22 06:09:47.536698,2023-01-22 06:12:58.993169,0 days 00:03:11.456471,9.0,0.7879348739814411,0.024006834790332967,0.0014205027458238332,0.007999070086256393,11.0,541.0,929.0,363.0,0.9499911499360145,COMPLETE
89,2684.2882,2023-01-22 07:11:01.871768,2023-01-22 07:14:08.753148,0 days 00:03:06.881380,9.0,0.7898525555861533,0.025168865949292067,0.0014893078374658905,0.007974428072098643,11.0,540.0,931.0,355.0,0.9473160435894215,COMPLETE
91,2684.3173,2023-01-22 07:17:58.614501,2023-01-22 07:21:19.772609,0 days 00:03:21.158108,9.0,0.7919049089693979,0.024897816809608238,0.0015053992906523437,0.007957473918655141,11.0,540.0,932.0,355.0,0.9471261179761843,COMPLETE
23,2684.4698,2023-01-22 03:11:58.014649,2023-01-22 03:16:12.852780,0 days 00:04:14.838131,9.0,0.7768773153605525,0.023595979039530698,0.001677593502506184,0.007991184994094836,11.0,540.0,927.0,364.0,0.9490246837473354,COMPLETE
81,2684.4869,2023-01-22 06:44:02.746242,2023-01-22 06:47:21.155323,0 days 00:03:18.409081,9.0,0.7869913806848883,0.024434473744952095,0.0015016738394364076,0.007988887339286842,11.0,540.0,930.0,358.0,0.9473559486174693,COMPLETE
86,2684.4979,2023-01-22 07:01:00.438021,2023-01-22 07:04:16.969616,0 days 00:03:16.531595,9.0,0.7860513698494356,0.023529759544240227,0.0014621675405008536,0.007940229192180438,11.0,540.0,932.0,365.0,0.9473968094921784,COMPLETE
93,2684.4991,2023-01-22 21:49:44.215998,2023-01-22 21:53:45.068504,0 days 00:04:00.852506,9.0,0.7913450761019939,0.02488629294697448,0.0014868635162795737,0.007957393617495073,11.0,540.0,932.0,355.0,0.9470228730392916,COMPLETE
52,2684.5022,2023-01-22 04:59:04.424827,2023-01-22 05:02:28.597615,0 days 00:03:24.172788,9.0,0.7783676326289318,0.024176865596501694,0.001644828924432171,0.007999437201105129,11.0,541.0,928.0,365.0,0.9464889184383382,COMPLETE
63,2684.505,2023-01-22 05:40:10.234256,2023-01-22 05:43:45.781706,0 days 00:03:35.547450,9.0,0.7897607075433286,0.02401808023654437,0.0013117539034614427,0.007993557203516449,11.0,541.0,928.0,365.0,0.9498966413614492,COMPLETE
51,2684.7655,2023-01-22 04:55:36.582705,2023-01-22 04:58:57.911916,0 days 00:03:21.329211,9.0,0.7786265453652129,0.024191380886049503,0.0015911897747139226,0.007998695464546105,11.0,541.0,928.0,364.0,0.9453163314899204,COMPLETE
55,2684.7921,2023-01-22 05:09:59.810274,2023-01-22 05:13:31.282853,0 days 00:03:31.472579,9.0,0.7859042453200822,0.02318507155227709,0.0014618196442861614,0.007999417362300237,11.0,543.0,929.0,365.0,0.9491363332724535,COMPLETE
83,2684.821,2023-01-22 06:50:52.234517,2023-01-22 06:54:08.786058,0 days 00:03:16.551541,9.0,0.7835206024327852,0.024767725608800598,0.0014944866219751306,0.007987943796834592,11.0,541.0,930.0,359.0,0.9497286089538278,COMPLETE
100,2684.8245,2023-01-22 22:17:10.364032,2023-01-22 22:21:03.174978,0 days 00:03:52.810946,9.0,0.7859965721535046,0.024917874123633686,0.001490961877453439,0.007964950712927743,11.0,540.0,933.0,356.0,0.9433634854658159,COMPLETE
74,2684.8545,2023-01-22 06:20:24.307862,2023-01-22 06:23:47.771660,0 days 00:03:23.463798,9.0,0.787917776764678,0.023835707465199734,0.0014749035329908661,0.007998925021056102,11.0,540.0,929.0,358.0,0.9468812181619898,COMPLETE
61,2684.8817,2023-01-22 05:32:45.920076,2023-01-22 05:36:18.232066,0 days 00:03:32.311990,9.0,0.7884899198721358,0.024042208692546408,0.0012745275588806912,0.007998154608327222,11.0,541.0,928.0,364.0,0.9463037973485396,COMPLETE
57,2684.9875,2023-01-22 05:17:05.150066,2023-01-22 05:20:52.418083,0 days 00:03:47.268017,9.0,0.7878757549598577,0.024010918598878748,0.0014053116707138324,0.007936514265482798,11.0,541.0,929.0,363.0,0.9498766034408455,COMPLETE
96,2684.9879,2023-01-22 22:01:13.957808,2023-01-22 22:05:18.877177,0 days 00:04:04.919369,9.0,0.7886961696881165,0.024457856601890527,0.0014679876349761596,0.007931658698982295,11.0,540.0,931.0,354.0,0.9476168796777398,COMPLETE
77,2685.0648,2023-01-22 06:31:46.730464,2023-01-22 06:35:05.787653,0 days 00:03:19.057189,9.0,0.7851292365739333,0.022988108508744987,0.0015135038136552832,0.007970461528971351,11.0,540.0,930.0,356.0,0.9431837740567195,COMPLETE
72,2685.0657,2023-01-22 06:13:09.299895,2023-01-22 06:16:44.588895,0 days 00:03:35.289000,9.0,0.7918501749964761,0.024233996852402614,0.0013374988671152395,0.007984936038326057,11.0,541.0,929.0,364.0,0.946275867774624,COMPLETE
82,2685.0745,2023-01-22 06:47:27.623053,2023-01-22 06:50:45.823438,0 days 00:03:18.200385,9.0,0.7868671381615908,0.02442735376995478,0.001514104430988021,0.007949984933031274,11.0,540.0,930.0,356.0,0.9472254115531217,COMPLETE
97,2685.1069,2023-01-22 22:05:25.664495,2023-01-22 22:09:06.576092,0 days 00:03:40.911597,9.0,0.7907296881536978,0.02479450964950479,0.0015325811885991698,0.00795621602448326,11.0,540.0,932.0,355.0,0.9442408952662407,COMPLETE
69,2685.1292,2023-01-22 06:02:24.309566,2023-01-22 06:06:10.294060,0 days 00:03:45.984494,9.0,0.7871178966403332,0.02506093132432805,0.0013761323832255715,0.007919694568043608,11.0,540.0,931.0,352.0,0.9499227052597132,COMPLETE
94,2685.2894,2023-01-22 21:53:51.632435,2023-01-22 21:57:17.363493,0 days 00:03:25.731058,9.0,0.7913951391378921,0.024936427244941457,0.0014900470927560344,0.007953471674783854,11.0,540.0,932.0,355.0,0.9418571136247328,COMPLETE
17,2685.294,2023-01-22 02:49:18.332930,2023-01-22 02:52:32.078424,0 days 00:03:13.745494,8.0,0.7908403626142708,0.024665624356736388,0.001608467795229552,0.007950783820124624,11.0,542.0,928.0,365.0,0.9493369357165888,COMPLETE
45,2685.3405,2023-01-22 04:33:13.755269,2023-01-22 04:36:53.634524,0 days 00:03:39.879255,9.0,0.7826976479393969,0.024406975999403207,0.001786150226387845,0.007980338658818613,11.0,540.0,928.0,364.0,0.9453474617036574,COMPLETE
88,2685.3616,2023-01-22 07:07:51.732543,2023-01-22 07:10:55.767597,0 days 00:03:04.035054,9.0,0.7874958325506072,0.023857948721293716,0.0016015978284317318,0.007944315162549348,11.0,540.0,933.0,364.0,0.9440212081129488,COMPLETE
59,2685.42,2023-01-22 05:24:50.879873,2023-01-22 05:29:01.156788,0 days 00:04:10.276915,9.0,0.793634336965416,0.02235490873483873,0.0014247600939474,0.007933795520416726,11.0,543.0,934.0,363.0,0.9489499414031333,COMPLETE
34,2685.445,2023-01-22 03:53:07.439397,2023-01-22 03:56:45.162474,0 days 00:03:37.723077,9.0,0.7808384949568812,0.025381521646999926,0.0016219355242417682,0.007977153051611905,11.0,542.0,927.0,364.0,0.9425590339714521,COMPLETE
84,2685.4588,2023-01-22 06:54:15.395212,2023-01-22 06:57:42.077258,0 days 00:03:26.682046,9.0,0.7905655621270988,0.024636420660328423,0.0015678160659007823,0.007965119659408493,11.0,540.0,927.0,358.0,0.9444366669881102,COMPLETE
56,2685.4775,2023-01-22 05:13:37.817146,2023-01-22 05:16:58.703493,0 days 00:03:20.886347,9.0,0.786310047268588,0.023112998666087223,0.0014568709591621094,0.007999033437480796,11.0,543.0,929.0,365.0,0.9484065801284414,COMPLETE
