iter	RMSE
397	2165.423479
398	2165.177266
399	2164.730228
400	2163.441679
401	2162.559384
402	2161.806857
403	2161.062738
404	2160.405323
405	2159.082373
406	2157.90993
407	2157.159603
408	2156.295245
409	2155.51144
410	2154.361753
411	2153.48734
412	2152.532491
413	2151.470625
414	2151.087403
415	2150.349217
416	2149.707469
417	2149.042745
418	2148.25327
419	2147.561457
420	2146.008135
421	2145.605424
422	2145.123329
423	2144.202855
424	2143.179875
425	2142.584486
426	2141.962105
427	2141.089628
428	2140.651448
429	2139.870319
430	2139.123707
431	2138.403589
432	2137.706601
433	2137.023648
434	2136.108689
435	2135.607254
436	2135.205155
437	2134.359998
438	2133.700913
439	2132.563952
440	2131.744937
441	2131.122673
442	2130.092004
443	2129.177352
444	2128.518775
445	2127.164132
446	2126.434207
447	2125.481779
448	2124.409567
449	2123.601171
450	2122.594979
451	2121.843349
452	2121.390477
453	2120.37817
454	2119.508831
455	2118.83817
456	2118.088156
457	2117.566173
458	2116.780655
459	2115.908894
460	2115.014212
