iter	Passed	Remaining
0	61	28377
1	72	16599
2	81	12512
3	91	10464
4	101	9261
5	111	8458
6	121	7868
7	130	7413
8	140	7046
9	149	6740
10	159	6511
11	167	6281
12	175	6058
13	184	5900
14	192	5737
15	201	5600
16	209	5477
17	218	5376
18	227	5299
19	235	5200
20	244	5125
21	253	5048
22	261	4976
23	269	4908
24	277	4848
25	286	4785
26	294	4729
27	302	4681
28	311	4635
29	319	4588
30	327	4546
31	335	4500
32	344	4463
33	352	4424
34	360	4390
35	369	4359
36	377	4327
37	385	4294
38	394	4264
39	402	4237
40	412	4229
41	420	4199
42	428	4164
43	435	4128
44	443	4100
45	451	4073
46	459	4043
47	466	4013
48	473	3983
49	481	3955
50	488	3927
51	495	3901
52	503	3876
53	511	3853
54	518	3829
55	526	3809
56	534	3787
57	542	3766
58	549	3745
59	557	3724
60	564	3701
61	572	3681
62	579	3658
63	586	3640
64	594	3623
65	602	3605
66	609	3586
67	617	3569
68	625	3551
69	632	3535
70	640	3516
71	647	3499
72	655	3481
73	663	3467
74	670	3450
75	678	3434
76	685	3418
77	693	3403
78	700	3386
79	708	3372
80	715	3357
81	723	3342
82	730	3328
83	738	3314
84	746	3300
85	754	3287
86	761	3275
87	769	3262
88	777	3249
89	785	3238
90	793	3226
91	801	3214
92	809	3201
93	816	3189
94	824	3178
95	833	3168
96	840	3155
97	848	3142
98	855	3129
99	863	3118
100	872	3108
101	879	3096
102	887	3084
103	895	3072
104	902	3059
105	910	3048
106	917	3036
107	925	3026
108	933	3016
109	942	3006
110	949	2994
111	957	2983
112	965	2972
113	973	2962
114	980	2951
115	988	2940
116	997	2931
117	1004	2920
118	1012	2910
119	1020	2899
120	1028	2889
121	1036	2878
122	1044	2869
123	1052	2859
124	1060	2849
125	1067	2839
126	1075	2829
127	1083	2818
128	1091	2809
129	1099	2799
130	1107	2788
131	1114	2778
132	1122	2767
133	1129	2757
134	1137	2747
135	1145	2737
136	1153	2727
137	1161	2717
138	1168	2707
139	1176	2697
140	1184	2687
141	1192	2677
142	1199	2667
143	1207	2657
144	1214	2646
145	1222	2636
146	1229	2626
147	1237	2616
148	1245	2607
149	1253	2598
150	1261	2589
151	1269	2581
152	1277	2572
153	1285	2563
154	1293	2553
155	1301	2545
156	1309	2535
157	1317	2527
158	1325	2518
