feature,weight,std
horsepower,0.36932909603955444,0.0018443143019310794
width,0.0971887368109983,0.0005396329530664325
year,0.08649247772551638,0.0010481951749990006
mileage,0.07570465659682453,0.0007394310377915725
height,0.040076690915392565,0.0002550238642998094
fuel_tank_volume,0.0339951763481219,0.0002302468946144114
wheelbase,0.030695150498844238,0.0002893200979458094
maximum_seating,0.025043612655565605,0.00020820757477897265
engine_displacement,0.021854905937286496,0.00021924947327457624
highway_fuel_economy,0.020785977802578536,0.00017262528438770594
back_legroom,0.020379389330620046,0.00019754188844609114
is_new,0.019766097832650688,0.00022556382219071983
horsepower_rpm,0.01844370429001454,0.0001553174376794268
savings_amount,0.018105067876604885,0.00013895117031367563
wheel_system_display_Front-Wheel Drive,0.01636725788476521,0.00020800061285107223
length,0.014946194546850177,7.77095343300955e-05
city_fuel_economy,0.012032552127724227,0.00011566987448055425
front_legroom,0.010196673061971407,0.00010045298749619345
wheel_system_display_Four-Wheel Drive,0.009679535596360589,0.00014649686261332067
wheel_system_display_All-Wheel Drive,0.007324584407913837,0.00010665861917300979
