loss,params,iteration,estimators,train_time
2522.1128875062113,"{'boosting_type': 'gbdt', 'feature_fraction': 0.7823410486602065, 'force_col_wise': '+', 'learning_rate': 0.2893228829861475, 'max_depth': 4, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 38, 'reg_alpha': 0.6810391246607139, 'reg_lambda': 0.6921104520712689, 'subsample': 0.7837781255140207}",18,1000,9.37066070002038
2433.353575607111,"{'boosting_type': 'gbdt', 'feature_fraction': 0.7010748875955217, 'force_col_wise': '+', 'learning_rate': 0.1296731100407676, 'max_depth': 13, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 70, 'reg_alpha': 0.6946896343853821, 'reg_lambda': 0.28813841028148135, 'subsample': 0.9592212417517827}",19,997,12.620516500028316
2859.681881386356,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6571130181638987, 'force_col_wise': '+', 'learning_rate': 0.06446688137491441, 'max_depth': 3, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 51, 'reg_alpha': 0.8751118984907046, 'reg_lambda': 0.3977858693319253, 'subsample': 0.9667176998677576}",20,1000,8.960932000016328
2433.6256536032565,"{'boosting_type': 'gbdt', 'feature_fraction': 0.734509098657014, 'force_col_wise': '+', 'learning_rate': 0.13634140334494627, 'max_depth': 13, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 70, 'reg_alpha': 0.5298974038879187, 'reg_lambda': 0.18607217966162976, 'subsample': 0.9953575039534752}",21,1000,12.623622299986891
2488.877997058511,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6957993272482603, 'force_col_wise': '+', 'learning_rate': 0.2843357020760562, 'max_depth': 11, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 55, 'reg_alpha': 0.5512797693743752, 'reg_lambda': 0.26614981850785946, 'subsample': 0.9155726715804753}",22,496,6.146875499980524
2442.316482378319,"{'boosting_type': 'gbdt', 'feature_fraction': 0.7545998695820116, 'force_col_wise': '+', 'learning_rate': 0.07337740488972569, 'max_depth': 13, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 74, 'reg_alpha': 0.3943150919704082, 'reg_lambda': 0.1474450573134803, 'subsample': 0.8174330552631719}",23,1000,13.932181500014849
2441.3961389242545,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6834829591912491, 'force_col_wise': '+', 'learning_rate': 0.17037525822941613, 'max_depth': 9, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 133, 'reg_alpha': 0.44800689340995037, 'reg_lambda': 0.30429755888435306, 'subsample': 0.7301019411269748}",24,494,9.077202100015711
2409.158594530712,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6288559483259166, 'force_col_wise': '+', 'learning_rate': 0.057014241645948066, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 161, 'reg_alpha': 0.6044543366793144, 'reg_lambda': 0.054876399844152074, 'subsample': 0.9376796591294428}",25,998,20.953548500023317
2507.730062288769,"{'boosting_type': 'gbdt', 'feature_fraction': 0.628129889058772, 'force_col_wise': '+', 'learning_rate': 0.024453077433098356, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 82, 'reg_alpha': 0.5972343387531527, 'reg_lambda': 0.012549092247683899, 'subsample': 0.7636253995204272}",26,1000,16.798559799965005
2412.195858349045,"{'boosting_type': 'gbdt', 'feature_fraction': 0.642231008447949, 'force_col_wise': '+', 'learning_rate': 0.05668572637539326, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 152, 'reg_alpha': 0.24828323449417405, 'reg_lambda': 0.9854587713572214, 'subsample': 0.8490072341587929}",27,1000,18.641020800045226
2400.4186023973157,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6319607598547486, 'force_col_wise': '+', 'learning_rate': 0.05569160735711916, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 192, 'reg_alpha': 0.24642784742371615, 'reg_lambda': 0.12175014895503916, 'subsample': 0.8369050999796784}",28,1000,21.64745980000589
2468.5077908050557,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5786979063644253, 'force_col_wise': '+', 'learning_rate': 0.018657724351354224, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 161, 'reg_alpha': 0.0716425562490498, 'reg_lambda': 0.07256975461476986, 'subsample': 0.9975986919303906}",29,1000,22.82535529998131
2583.4916171499185,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5704614461088355, 'force_col_wise': '+', 'learning_rate': 0.006839725701884018, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 161, 'reg_alpha': 0.24358080739543925, 'reg_lambda': 0.10336546631093807, 'subsample': 0.6894585411137764}",30,1000,27.423014400003012
2598.9386507579015,"{'boosting_type': 'gbdt', 'feature_fraction': 0.632167237099333, 'force_col_wise': '+', 'learning_rate': 0.011198121148702715, 'max_depth': 14, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 80, 'reg_alpha': 0.459584362691125, 'reg_lambda': 0.21785282817495594, 'subsample': 0.8030829408394278}",31,1000,20.867323599988595
2472.139879813342,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6706206079355009, 'force_col_wise': '+', 'learning_rate': 0.045939129093466105, 'max_depth': 8, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 77, 'reg_alpha': 0.3009324234391745, 'reg_lambda': 0.34958840815684333, 'subsample': 0.877336808878845}",32,1000,14.895627400022931
2479.0759851529006,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5996472696942524, 'force_col_wise': '+', 'learning_rate': 0.08506188039708941, 'max_depth': 6, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 122, 'reg_alpha': 0.5977013930036648, 'reg_lambda': 0.05724642289585209, 'subsample': 0.7491217033140558}",33,1000,12.666275899973698
2468.6510413488218,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6489031131849585, 'force_col_wise': '+', 'learning_rate': 0.021420042339503377, 'max_depth': 9, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 192, 'reg_alpha': 0.19416366874979354, 'reg_lambda': 0.14016043678725038, 'subsample': 0.8405347907461186}",34,1000,22.80814849998569
2917.80538235956,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5661831586295345, 'force_col_wise': '+', 'learning_rate': 0.003189496698544049, 'max_depth': 11, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 100, 'reg_alpha': 0.06670105869262113, 'reg_lambda': 0.22889432043232932, 'subsample': 0.9083889241588491}",35,1000,23.779718500038143
2469.791429918599,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6170622119396834, 'force_col_wise': '+', 'learning_rate': 0.24067999597388334, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 95, 'reg_alpha': 0.3704525886539428, 'reg_lambda': 0.41704089474857914, 'subsample': 0.6218806672361465}",36,422,6.717301500029862
