iteration,rmse,datetime_start,datetime_complete,duration,metric,n_neighbors,state
11,4902.1064453125,2022-06-04 22:27:21.730406,2022-06-04 22:27:22.795956,0 days 00:00:01.065550,chebyshev,14,COMPLETE
1,4902.1064453125,2022-06-04 22:27:10.908377,2022-06-04 22:27:11.975767,0 days 00:00:01.067390,euclidean,14,COMPLETE
69,4902.1064453125,2022-06-04 22:28:24.178691,2022-06-04 22:28:25.291866,0 days 00:00:01.113175,minkowski,14,COMPLETE
96,4902.1064453125,2022-06-04 22:28:53.586000,2022-06-04 22:28:54.686027,0 days 00:00:01.100027,minkowski,14,COMPLETE
87,4902.1064453125,2022-06-04 22:28:43.755061,2022-06-04 22:28:44.863776,0 days 00:00:01.108715,minkowski,14,COMPLETE
45,4902.1064453125,2022-06-04 22:27:58.248168,2022-06-04 22:27:59.346215,0 days 00:00:01.098047,chebyshev,14,COMPLETE
59,4906.328125,2022-06-04 22:28:13.362559,2022-06-04 22:28:14.450452,0 days 00:00:01.087893,euclidean,15,COMPLETE
6,4906.328125,2022-06-04 22:27:16.246689,2022-06-04 22:27:17.303367,0 days 00:00:01.056678,chebyshev,15,COMPLETE
90,4906.328125,2022-06-04 22:28:47.047481,2022-06-04 22:28:48.129226,0 days 00:00:01.081745,minkowski,15,COMPLETE
37,4906.328125,2022-06-04 22:27:49.687906,2022-06-04 22:27:50.770836,0 days 00:00:01.082930,minkowski,15,COMPLETE
43,4906.328125,2022-06-04 22:27:56.103410,2022-06-04 22:27:57.183662,0 days 00:00:01.080252,manhattan,15,COMPLETE
84,4908.73193359375,2022-06-04 22:28:40.502688,2022-06-04 22:28:41.587010,0 days 00:00:01.084322,minkowski,16,COMPLETE
73,4908.73193359375,2022-06-04 22:28:28.541816,2022-06-04 22:28:29.624786,0 days 00:00:01.082970,minkowski,16,COMPLETE
44,4914.30810546875,2022-06-04 22:27:57.183801,2022-06-04 22:27:58.248009,0 days 00:00:01.064208,minkowski,7,COMPLETE
