iteration,rmse,datetime_start,datetime_complete,duration,metric,n_neighbors,state
706,3070.8987010700253,2023-02-25 06:06:16.039692,2023-02-25 06:06:20.842922,0 days 00:00:04.803230,chebyshev,2,COMPLETE
654,3070.8987010700253,2023-02-25 06:02:04.757080,2023-02-25 06:02:09.519697,0 days 00:00:04.762617,manhattan,2,COMPLETE
657,3070.8987010700253,2023-02-25 06:02:19.218560,2023-02-25 06:02:24.009119,0 days 00:00:04.790559,chebyshev,2,COMPLETE
264,3070.8987010700253,2023-02-25 05:30:46.428542,2023-02-25 05:30:51.115612,0 days 00:00:04.687070,manhattan,2,COMPLETE
660,3070.8987010700253,2023-02-25 06:02:33.634623,2023-02-25 06:02:38.407588,0 days 00:00:04.772965,manhattan,2,COMPLETE
262,3070.8987010700253,2023-02-25 05:30:36.986124,2023-02-25 05:30:41.686974,0 days 00:00:04.700850,minkowski,2,COMPLETE
663,3070.8987010700253,2023-02-25 06:02:48.332111,2023-02-25 06:02:53.112584,0 days 00:00:04.780473,chebyshev,2,COMPLETE
259,3070.8987010700253,2023-02-25 05:30:22.861854,2023-02-25 05:30:27.566286,0 days 00:00:04.704432,manhattan,2,COMPLETE
666,3070.8987010700253,2023-02-25 06:03:02.761360,2023-02-25 06:03:07.565766,0 days 00:00:04.804406,chebyshev,2,COMPLETE
255,3070.8987010700253,2023-02-25 05:30:03.362918,2023-02-25 05:30:08.059830,0 days 00:00:04.696912,manhattan,2,COMPLETE
670,3070.8987010700253,2023-02-25 06:03:22.335589,2023-02-25 06:03:27.140805,0 days 00:00:04.805216,chebyshev,2,COMPLETE
673,3070.8987010700253,2023-02-25 06:03:36.761199,2023-02-25 06:03:41.524340,0 days 00:00:04.763141,minkowski,2,COMPLETE
251,3070.8987010700253,2023-02-25 05:29:44.296972,2023-02-25 05:29:48.971648,0 days 00:00:04.674676,manhattan,2,COMPLETE
249,3070.8987010700253,2023-02-25 05:29:34.879287,2023-02-25 05:29:39.578823,0 days 00:00:04.699536,manhattan,2,COMPLETE
678,3070.8987010700253,2023-02-25 06:04:00.804946,2023-02-25 06:04:05.562069,0 days 00:00:04.757123,manhattan,2,COMPLETE
246,3070.8987010700253,2023-02-25 05:29:20.735840,2023-02-25 05:29:25.432507,0 days 00:00:04.696667,chebyshev,2,COMPLETE
680,3070.8987010700253,2023-02-25 06:04:10.594011,2023-02-25 06:04:15.385228,0 days 00:00:04.791217,manhattan,2,COMPLETE
243,3070.8987010700253,2023-02-25 05:29:06.543696,2023-02-25 05:29:11.240748,0 days 00:00:04.697052,chebyshev,2,COMPLETE
268,3070.8987010700253,2023-02-25 05:31:05.345079,2023-02-25 05:31:10.086900,0 days 00:00:04.741821,chebyshev,2,COMPLETE
651,3070.8987010700253,2023-02-25 06:01:50.139066,2023-02-25 06:01:54.954291,0 days 00:00:04.815225,manhattan,2,COMPLETE
271,3070.8987010700253,2023-02-25 05:31:19.544821,2023-02-25 05:31:24.276711,0 days 00:00:04.731890,manhattan,2,COMPLETE
648,3070.8987010700253,2023-02-25 06:01:35.707894,2023-02-25 06:01:40.511676,0 days 00:00:04.803782,manhattan,2,COMPLETE
609,3070.8987010700253,2023-02-25 05:58:24.996219,2023-02-25 05:58:29.749816,0 days 00:00:04.753597,chebyshev,2,COMPLETE
612,3070.8987010700253,2023-02-25 05:58:39.314525,2023-02-25 05:58:44.110597,0 days 00:00:04.796072,manhattan,2,COMPLETE
298,3070.8987010700253,2023-02-25 05:33:28.272833,2023-02-25 05:33:32.984505,0 days 00:00:04.711672,manhattan,2,COMPLETE
617,3070.8987010700253,2023-02-25 05:59:03.961958,2023-02-25 05:59:08.966169,0 days 00:00:05.004211,manhattan,2,COMPLETE
295,3070.8987010700253,2023-02-25 05:33:14.105614,2023-02-25 05:33:18.798923,0 days 00:00:04.693309,chebyshev,2,COMPLETE
620,3070.8987010700253,2023-02-25 05:59:18.551552,2023-02-25 05:59:23.511131,0 days 00:00:04.959579,chebyshev,2,COMPLETE
292,3070.8987010700253,2023-02-25 05:32:59.981379,2023-02-25 05:33:04.672407,0 days 00:00:04.691028,chebyshev,2,COMPLETE
