iteration,rmse,datetime_start,datetime_complete,duration,alpha,fit_intercept,max_iter,normalize,selection,tol,state
554,4744.52442580911,2023-02-25 23:22:13.444348,2023-02-25 23:22:14.752647,0 days 00:00:01.308299,0.3091747253651763,True,6326920,False,random,9.018862637476362e-05,COMPLETE
518,4744.530604550848,2023-02-25 23:21:32.874649,2023-02-25 23:21:34.049303,0 days 00:00:01.174654,0.33194105511260047,True,6054667,False,random,0.00011811162770384299,COMPLETE
612,4744.530862681835,2023-02-25 23:23:30.897896,2023-02-25 23:23:32.187510,0 days 00:00:01.289614,0.3131138175106031,True,6160681,False,random,0.00012340159700749442,COMPLETE
398,4744.531556483384,2023-02-25 23:19:35.631789,2023-02-25 23:19:36.891883,0 days 00:00:01.260094,0.3245889548039801,True,6281574,False,random,6.98158033869459e-05,COMPLETE
604,4744.533163912701,2023-02-25 23:23:25.590250,2023-02-25 23:23:27.120423,0 days 00:00:01.530173,0.324682688675886,True,5712443,False,random,3.953964278924277e-05,COMPLETE
539,4744.54549754731,2023-02-25 23:22:02.329464,2023-02-25 23:22:03.631840,0 days 00:00:01.302376,0.3623462581334263,True,6867421,False,random,7.922209591610177e-05,COMPLETE
620,4744.548893031003,2023-02-25 23:23:36.426101,2023-02-25 23:23:37.784552,0 days 00:00:01.358451,0.3699411980539396,True,6266825,False,random,7.763664750321599e-05,COMPLETE
455,4744.549717140482,2023-02-25 23:20:25.903346,2023-02-25 23:20:27.128436,0 days 00:00:01.225090,0.3745367838529587,True,5951361,False,random,7.251601193854189e-05,COMPLETE
446,4744.549768845577,2023-02-25 23:20:20.552702,2023-02-25 23:20:21.835507,0 days 00:00:01.282805,0.3779608336638757,True,6273684,False,random,7.255442521540355e-05,COMPLETE
580,4744.552867586307,2023-02-25 23:23:01.416118,2023-02-25 23:23:03.171562,0 days 00:00:01.755444,0.3780310677682578,True,6671191,False,random,3.972698968564975e-05,COMPLETE
625,4744.554102319606,2023-02-25 23:23:39.822327,2023-02-25 23:23:41.230479,0 days 00:00:01.408152,0.38712726080791293,True,6989331,False,random,6.616668052213309e-05,COMPLETE
584,4744.555268011691,2023-02-25 23:23:04.710247,2023-02-25 23:23:06.287956,0 days 00:00:01.577709,0.3882398459652073,True,6424151,False,random,3.491937019036932e-05,COMPLETE
439,4744.556644636018,2023-02-25 23:20:15.531247,2023-02-25 23:20:17.121284,0 days 00:00:01.590037,0.3842481627317308,True,6000087,False,random,2.031709761441086e-05,COMPLETE
544,4744.56005625203,2023-02-25 23:22:06.566016,2023-02-25 23:22:08.012133,0 days 00:00:01.446117,0.4034835434115684,True,6626764,False,random,5.091289863920928e-05,COMPLETE
405,4744.562445068214,2023-02-25 23:19:39.982434,2023-02-25 23:19:41.414470,0 days 00:00:01.432036,0.40611054512516814,True,6227086,False,random,4.221007801260319e-05,COMPLETE
374,4744.563648711232,2023-02-25 23:19:22.308074,2023-02-25 23:19:23.212121,0 days 00:00:00.904047,0.41066044304312016,True,5715742,False,cyclic,0.0001439839576699972,COMPLETE
438,4744.563712252806,2023-02-25 23:20:14.244119,2023-02-25 23:20:15.530702,0 days 00:00:01.286583,0.40945078009036723,True,6053686,False,random,6.679491228854976e-05,COMPLETE
366,4744.567277428169,2023-02-25 23:19:17.925779,2023-02-25 23:19:18.903441,0 days 00:00:00.977662,0.42132136236250306,True,5666747,False,cyclic,0.00011769877897426038,COMPLETE
437,4744.579168127194,2023-02-25 23:20:12.666046,2023-02-25 23:20:14.243427,0 days 00:00:01.577381,0.4430856246152876,True,6055094,False,random,2.7682495287053697e-05,COMPLETE
386,4744.584322866487,2023-02-25 23:19:27.848071,2023-02-25 23:19:29.178367,0 days 00:00:01.330296,0.44864757808908245,True,6195111,False,random,4.402230317699083e-05,COMPLETE
391,4744.597863800831,2023-02-25 23:19:31.134009,2023-02-25 23:19:32.638962,0 days 00:00:01.504953,0.4807183253867892,True,6248423,False,random,2.283585717194388e-05,COMPLETE
531,4744.59806554886,2023-02-25 23:21:57.450299,2023-02-25 23:21:58.620953,0 days 00:00:01.170654,0.46981467779291664,True,6666034,False,random,8.521661944326936e-05,COMPLETE
474,4744.598730504611,2023-02-25 23:20:38.447072,2023-02-25 23:20:40.015653,0 days 00:00:01.568581,0.47128722378010773,True,6213492,False,random,2.4880094655951394e-05,COMPLETE
368,4744.602113321731,2023-02-25 23:19:19.541893,2023-02-25 23:19:20.493614,0 days 00:00:00.951721,0.4740821061138692,True,6305803,False,cyclic,0.00011704461132887347,COMPLETE
482,4744.605220346066,2023-02-25 23:20:45.631798,2023-02-25 23:20:47.226989,0 days 00:00:01.595191,0.4908947916483456,True,6400259,False,random,2.132864948505729e-05,COMPLETE
527,4744.6098255691095,2023-02-25 23:21:54.784478,2023-02-25 23:21:56.154973,0 days 00:00:01.370495,0.49915451467219907,True,5825373,False,random,5.08771871581828e-05,COMPLETE
472,4744.613737551039,2023-02-25 23:20:36.733220,2023-02-25 23:20:38.006476,0 days 00:00:01.273256,0.5030217147951502,True,6275745,False,random,7.217553429142061e-05,COMPLETE
485,4744.616649969438,2023-02-25 23:20:48.122622,2023-02-25 23:20:49.357505,0 days 00:00:01.234883,0.50951538756725,True,6462419,False,random,5.698795687133147e-05,COMPLETE
362,4744.6193346244245,2023-02-25 23:19:15.541653,2023-02-25 23:19:16.534519,0 days 00:00:00.992866,0.48297285056074857,True,5074927,False,cyclic,0.0002509510586933663,COMPLETE
476,4744.629561356668,2023-02-25 23:20:40.454969,2023-02-25 23:20:41.913373,0 days 00:00:01.458404,0.5250224371176255,True,6123956,False,random,2.8445125417684785e-05,COMPLETE
499,4744.64243297988,2023-02-25 23:20:55.744022,2023-02-25 23:20:56.998909,0 days 00:00:01.254887,0.5528804218567461,True,5769649,False,random,6.705698373802614e-05,COMPLETE
418,4744.6525305176165,2023-02-25 23:19:47.294706,2023-02-25 23:19:48.632229,0 days 00:00:01.337523,0.574531695981307,True,5973350,False,random,3.4004633372990335e-05,COMPLETE
361,4744.653569441976,2023-02-25 23:19:14.582267,2023-02-25 23:19:15.541134,0 days 00:00:00.958867,0.5846196164347247,True,5036170,False,cyclic,0.00011796831170437477,COMPLETE
