iteration,rmse,datetime_start,datetime_complete,duration,alpha,solver,state
579,4775.37353515625,2022-06-04 18:28:26.214872,2022-06-04 18:28:26.563117,0 days 00:00:00.348245,0.1984829767463744,svd,COMPLETE
931,4775.3984375,2022-06-04 18:30:31.184506,2022-06-04 18:30:31.672854,0 days 00:00:00.488348,0.19888299043370267,svd,COMPLETE
427,4775.408203125,2022-06-04 18:27:43.103576,2022-06-04 18:27:43.350624,0 days 00:00:00.247048,0.19903637232283694,svd,COMPLETE
912,4775.41015625,2022-06-04 18:30:23.086760,2022-06-04 18:30:23.473589,0 days 00:00:00.386829,0.19906660994836245,svd,COMPLETE
587,4775.46142578125,2022-06-04 18:28:28.628886,2022-06-04 18:28:28.887998,0 days 00:00:00.259112,0.19991179520502964,svd,COMPLETE
254,4775.5029296875,2022-06-04 18:26:59.475080,2022-06-04 18:26:59.705602,0 days 00:00:00.230522,0.20057703654745024,svd,COMPLETE
282,4775.50732421875,2022-06-04 18:27:06.414156,2022-06-04 18:27:06.635059,0 days 00:00:00.220903,0.2006151499818962,svd,COMPLETE
230,4775.509765625,2022-06-04 18:26:53.988193,2022-06-04 18:26:54.485608,0 days 00:00:00.497415,0.20066236917769895,svd,COMPLETE
796,4775.52001953125,2022-06-04 18:29:37.435792,2022-06-04 18:29:37.796340,0 days 00:00:00.360548,0.2008467650817354,svd,COMPLETE
675,4775.53173828125,2022-06-04 18:28:55.310957,2022-06-04 18:28:55.592133,0 days 00:00:00.281176,0.20102411143294321,svd,COMPLETE
419,4775.56494140625,2022-06-04 18:27:40.620798,2022-06-04 18:27:40.926013,0 days 00:00:00.305215,0.20159223539413842,svd,COMPLETE
621,4775.5732421875,2022-06-04 18:28:38.562760,2022-06-04 18:28:38.839406,0 days 00:00:00.276646,0.20172613533064662,svd,COMPLETE
595,4775.6103515625,2022-06-04 18:28:31.008277,2022-06-04 18:28:31.273755,0 days 00:00:00.265478,0.20233169990382677,svd,COMPLETE
441,4775.6767578125,2022-06-04 18:27:46.723992,2022-06-04 18:27:46.968095,0 days 00:00:00.244103,0.20344317288198593,svd,COMPLETE
493,4775.72021484375,2022-06-04 18:28:01.200611,2022-06-04 18:28:01.490703,0 days 00:00:00.290092,0.2041504367582158,svd,COMPLETE
376,4775.720703125,2022-06-04 18:27:29.079899,2022-06-04 18:27:29.538134,0 days 00:00:00.458235,0.2041661044592075,svd,COMPLETE
111,4775.734375,2022-06-04 18:26:27.475144,2022-06-04 18:26:27.657649,0 days 00:00:00.182505,0.2043915536404658,svd,COMPLETE
153,4775.755859375,2022-06-04 18:26:36.554103,2022-06-04 18:26:36.754379,0 days 00:00:00.200276,0.2047508121036746,svd,COMPLETE
794,4775.755859375,2022-06-04 18:29:36.450014,2022-06-04 18:29:37.058688,0 days 00:00:00.608674,0.20474663650574979,svd,COMPLETE
609,4775.8115234375,2022-06-04 18:28:35.116907,2022-06-04 18:28:35.383155,0 days 00:00:00.266248,0.20569898828359004,svd,COMPLETE
185,4775.8232421875,2022-06-04 18:26:43.787327,2022-06-04 18:26:43.989248,0 days 00:00:00.201921,0.2058849277730616,svd,COMPLETE
898,4775.8232421875,2022-06-04 18:30:17.486751,2022-06-04 18:30:17.866183,0 days 00:00:00.379432,0.20588697741424836,svd,COMPLETE
258,4775.8525390625,2022-06-04 18:27:00.667305,2022-06-04 18:27:00.988229,0 days 00:00:00.320924,0.2064078707387591,svd,COMPLETE
736,4775.85302734375,2022-06-04 18:29:14.191682,2022-06-04 18:29:14.534584,0 days 00:00:00.342902,0.20641252823904963,svd,COMPLETE
452,4775.89013671875,2022-06-04 18:27:49.645257,2022-06-04 18:27:49.892313,0 days 00:00:00.247056,0.20702385013898894,svd,COMPLETE
180,4775.98095703125,2022-06-04 18:26:42.580971,2022-06-04 18:26:42.780887,0 days 00:00:00.199916,0.20859315751444105,svd,COMPLETE
408,4776.0126953125,2022-06-04 18:27:37.828002,2022-06-04 18:27:38.061130,0 days 00:00:00.233128,0.20914386486931572,svd,COMPLETE
216,4776.03955078125,2022-06-04 18:26:50.661856,2022-06-04 18:26:50.996125,0 days 00:00:00.334269,0.20963364230024692,svd,COMPLETE
728,4776.05908203125,2022-06-04 18:29:11.645985,2022-06-04 18:29:11.950554,0 days 00:00:00.304569,0.2099609169345433,svd,COMPLETE
378,4776.0712890625,2022-06-04 18:27:29.764311,2022-06-04 18:27:30.071737,0 days 00:00:00.307426,0.21016417998284495,svd,COMPLETE
130,4776.15234375,2022-06-04 18:26:31.483096,2022-06-04 18:26:31.721471,0 days 00:00:00.238375,0.21157534886675597,svd,COMPLETE
276,4776.2109375,2022-06-04 18:27:05.003458,2022-06-04 18:27:05.274119,0 days 00:00:00.270661,0.21262291849685727,svd,COMPLETE
501,4776.24755859375,2022-06-04 18:28:03.275531,2022-06-04 18:28:03.520703,0 days 00:00:00.245172,0.2132657766580905,svd,COMPLETE
101,4776.3896484375,2022-06-04 18:26:25.574320,2022-06-04 18:26:25.767089,0 days 00:00:00.192769,0.21581422855063742,svd,COMPLETE
640,4776.42626953125,2022-06-04 18:28:44.511744,2022-06-04 18:28:44.790875,0 days 00:00:00.279131,0.21650802249563472,svd,COMPLETE
167,4776.48681640625,2022-06-04 18:26:39.336079,2022-06-04 18:26:39.540792,0 days 00:00:00.204713,0.2175896230350055,svd,COMPLETE
466,4776.51611328125,2022-06-04 18:27:53.564751,2022-06-04 18:27:53.916012,0 days 00:00:00.351261,0.2181417157676998,svd,COMPLETE
606,4776.5224609375,2022-06-04 18:28:34.045145,2022-06-04 18:28:34.536122,0 days 00:00:00.490977,0.21828180516877074,svd,COMPLETE
175,4776.54541015625,2022-06-04 18:26:41.469136,2022-06-04 18:26:41.676575,0 days 00:00:00.207439,0.21870170486006646,svd,COMPLETE
211,4776.625,2022-06-04 18:26:49.372750,2022-06-04 18:26:49.577075,0 days 00:00:00.204325,0.22016621756303004,svd,COMPLETE
696,4776.64306640625,2022-06-04 18:29:01.764711,2022-06-04 18:29:02.039548,0 days 00:00:00.274837,0.2205335346910686,svd,COMPLETE
138,4776.6455078125,2022-06-04 18:26:33.252164,2022-06-04 18:26:33.504119,0 days 00:00:00.251955,0.22057394727052196,svd,COMPLETE
831,4776.658203125,2022-06-04 18:29:50.963058,2022-06-04 18:29:51.320025,0 days 00:00:00.356967,0.22082163776700808,svd,COMPLETE
222,4776.70849609375,2022-06-04 18:26:52.144953,2022-06-04 18:26:52.367379,0 days 00:00:00.222426,0.22177474404588773,svd,COMPLETE
576,4776.84375,2022-06-04 18:28:25.420160,2022-06-04 18:28:25.690505,0 days 00:00:00.270345,0.2243572269243602,svd,COMPLETE
189,4776.91455078125,2022-06-04 18:26:44.678624,2022-06-04 18:26:44.972091,0 days 00:00:00.293467,0.22570504268333966,svd,COMPLETE
251,4776.98583984375,2022-06-04 18:26:58.818645,2022-06-04 18:26:59.038950,0 days 00:00:00.220305,0.22709335654418072,svd,COMPLETE
76,4776.99462890625,2022-06-04 18:26:20.179850,2022-06-04 18:26:20.415150,0 days 00:00:00.235300,0.22731782867596298,svd,COMPLETE
543,4777.29736328125,2022-06-04 18:28:15.782117,2022-06-04 18:28:16.033595,0 days 00:00:00.251478,0.2333583894418274,svd,COMPLETE
942,4777.75244140625,2022-06-04 18:30:35.926100,2022-06-04 18:30:36.313191,0 days 00:00:00.387091,0.24301768346347666,svd,COMPLETE
412,4777.77880859375,2022-06-04 18:27:38.769209,2022-06-04 18:27:39.000867,0 days 00:00:00.231658,0.24358381492154996,svd,COMPLETE
92,4777.92919921875,2022-06-04 18:26:23.571216,2022-06-04 18:26:23.874350,0 days 00:00:00.303134,0.2469296220527661,svd,COMPLETE
144,4778.01123046875,2022-06-04 18:26:34.644401,2022-06-04 18:26:34.914050,0 days 00:00:00.269649,0.24872646800216547,svd,COMPLETE
245,4778.0615234375,2022-06-04 18:26:57.542999,2022-06-04 18:26:57.759963,0 days 00:00:00.216964,0.2499119984307409,svd,COMPLETE
116,4778.18359375,2022-06-04 18:26:28.418488,2022-06-04 18:26:28.604734,0 days 00:00:00.186246,0.25272949100164793,svd,COMPLETE
496,4778.2958984375,2022-06-04 18:28:02.041670,2022-06-04 18:28:02.288189,0 days 00:00:00.246519,0.2553427561737362,svd,COMPLETE
147,4778.43603515625,2022-06-04 18:26:35.381699,2022-06-04 18:26:35.575639,0 days 00:00:00.193940,0.2587160721694784,svd,COMPLETE
121,4778.6630859375,2022-06-04 18:26:29.328963,2022-06-04 18:26:29.517324,0 days 00:00:00.188361,0.2642624839832152,svd,COMPLETE
110,4778.66357421875,2022-06-04 18:26:27.269000,2022-06-04 18:26:27.474999,0 days 00:00:00.205999,0.26430431154735784,svd,COMPLETE
126,4778.8525390625,2022-06-04 18:26:30.563833,2022-06-04 18:26:30.761904,0 days 00:00:00.198071,0.26909348758185747,svd,COMPLETE
179,4778.9609375,2022-06-04 18:26:42.317861,2022-06-04 18:26:42.580787,0 days 00:00:00.262926,0.2718430587579103,svd,COMPLETE
616,4779.58349609375,2022-06-04 18:28:37.221384,2022-06-04 18:28:37.483340,0 days 00:00:00.261956,0.2889396341333578,svd,COMPLETE
742,4779.67919921875,2022-06-04 18:29:16.566296,2022-06-04 18:29:16.910605,0 days 00:00:00.344309,0.29169564621643035,svd,COMPLETE
750,4779.80810546875,2022-06-04 18:29:19.720111,2022-06-04 18:29:20.075225,0 days 00:00:00.355114,0.2954700667885605,svd,COMPLETE
450,4779.87646484375,2022-06-04 18:27:49.153028,2022-06-04 18:27:49.402838,0 days 00:00:00.249810,0.29753105572095484,svd,COMPLETE
754,4779.87744140625,2022-06-04 18:29:21.438945,2022-06-04 18:29:21.814267,0 days 00:00:00.375322,0.29763644605389916,svd,COMPLETE
782,4779.91650390625,2022-06-04 18:29:31.863288,2022-06-04 18:29:32.242475,0 days 00:00:00.379187,0.29876062008017257,svd,COMPLETE
334,4780.00830078125,2022-06-04 18:27:18.585467,2022-06-04 18:27:18.816541,0 days 00:00:00.231074,0.30161592008932003,svd,COMPLETE
522,4780.0693359375,2022-06-04 18:28:09.204823,2022-06-04 18:28:09.459650,0 days 00:00:00.254827,0.3035054643314637,svd,COMPLETE
495,4780.0712890625,2022-06-04 18:28:01.755369,2022-06-04 18:28:02.041332,0 days 00:00:00.285963,0.30353970605595026,svd,COMPLETE
388,4780.203125,2022-06-04 18:27:32.685816,2022-06-04 18:27:33.048868,0 days 00:00:00.363052,0.30773199332348433,svd,COMPLETE
853,4780.21240234375,2022-06-04 18:29:59.411499,2022-06-04 18:29:59.784196,0 days 00:00:00.372697,0.3080160926159028,svd,COMPLETE
566,4780.22509765625,2022-06-04 18:28:22.635676,2022-06-04 18:28:22.908890,0 days 00:00:00.273214,0.30838110569558624,svd,COMPLETE
992,4780.23779296875,2022-06-04 18:30:55.856403,2022-06-04 18:30:56.270941,0 days 00:00:00.414538,0.30881770772646383,svd,COMPLETE
89,4780.27099609375,2022-06-04 18:26:22.896076,2022-06-04 18:26:23.141739,0 days 00:00:00.245663,0.3099049133961846,svd,COMPLETE
290,4780.28564453125,2022-06-04 18:27:08.108911,2022-06-04 18:27:08.322399,0 days 00:00:00.213488,0.31037055678585507,svd,COMPLETE
798,4780.28857421875,2022-06-04 18:29:38.167352,2022-06-04 18:29:38.523884,0 days 00:00:00.356532,0.31042007185694775,svd,COMPLETE
476,4780.3232421875,2022-06-04 18:27:56.567690,2022-06-04 18:27:57.035206,0 days 00:00:00.467516,0.31153984429278736,svd,COMPLETE
260,4780.32763671875,2022-06-04 18:27:01.235330,2022-06-04 18:27:01.449889,0 days 00:00:00.214559,0.31171550782294466,svd,COMPLETE
359,4780.35498046875,2022-06-04 18:27:25.049169,2022-06-04 18:27:25.347178,0 days 00:00:00.298009,0.31261930199821064,svd,COMPLETE
977,4780.38330078125,2022-06-04 18:30:49.672406,2022-06-04 18:30:49.996098,0 days 00:00:00.323692,0.3135332400580368,svd,COMPLETE
