iteration,rmse,datetime_start,datetime_complete,duration,alpha,fit_intercept,max_iter,normalize,selection,tol,state
216,4746.209569581167,2023-02-25 23:36:37.675526,2023-02-25 23:36:38.146992,0 days 00:00:00.471466,0.0016364234516280866,True,3882648,False,random,0.0019988276987259967,COMPLETE
369,4746.4258143556435,2023-02-25 23:37:46.899703,2023-02-25 23:37:47.433041,0 days 00:00:00.533338,0.0017597017067799126,True,737927,False,cyclic,0.00503083779493318,COMPLETE
244,4746.443325034855,2023-02-25 23:36:51.806358,2023-02-25 23:36:52.264227,0 days 00:00:00.457869,0.0019420806956125121,True,1003535,False,cyclic,0.0028971589891053353,COMPLETE
389,4746.470668473591,2023-02-25 23:37:56.900851,2023-02-25 23:37:57.434120,0 days 00:00:00.533269,0.0017002789078922923,True,2020564,False,cyclic,0.005729278916181235,COMPLETE
271,4746.5142786813285,2023-02-25 23:37:03.006982,2023-02-25 23:37:03.504120,0 days 00:00:00.497138,0.001920814833368241,True,1391991,False,cyclic,0.0038951497847623455,COMPLETE
316,4746.700393439567,2023-02-25 23:37:21.308152,2023-02-25 23:37:21.820250,0 days 00:00:00.512098,0.0020463950840808906,True,4912221,False,cyclic,0.004005600576098799,COMPLETE
529,4746.73382077921,2023-02-25 23:39:02.800091,2023-02-25 23:39:03.372165,0 days 00:00:00.572074,0.001895944883409649,True,3659674,False,cyclic,0.005757203810401364,COMPLETE
55,4746.7604690737135,2023-02-25 23:35:39.608963,2023-02-25 23:35:39.956856,0 days 00:00:00.347893,0.0019168559173496705,True,4613801,False,cyclic,0.005902498952529642,COMPLETE
977,4746.836874905574,2023-02-25 23:45:02.775925,2023-02-25 23:45:03.648792,0 days 00:00:00.872867,0.002108989244805705,True,8892072,False,cyclic,0.00432550453401479,COMPLETE
340,4746.870371914443,2023-02-25 23:37:34.210478,2023-02-25 23:37:34.757403,0 days 00:00:00.546925,0.0022149199583835467,True,3216847,False,cyclic,0.003024257604619277,COMPLETE
341,4746.892676662762,2023-02-25 23:37:34.757789,2023-02-25 23:37:35.275240,0 days 00:00:00.517451,0.00229143407740801,True,3664363,False,cyclic,0.0018822582078913122,COMPLETE
802,4746.9339565857545,2023-02-25 23:42:22.100314,2023-02-25 23:42:22.851290,0 days 00:00:00.750976,0.0023169687327448917,True,1639044,False,cyclic,0.0018250951335623468,COMPLETE
793,4746.999978982968,2023-02-25 23:42:15.915455,2023-02-25 23:42:16.677516,0 days 00:00:00.762061,0.0021624060753218126,True,4564307,False,cyclic,0.005001611151195415,COMPLETE
318,4747.167243048332,2023-02-25 23:37:22.164445,2023-02-25 23:37:22.731456,0 days 00:00:00.567011,0.0022380712660508553,True,958972,False,cyclic,0.005306776644521449,COMPLETE
236,4747.536309907412,2023-02-25 23:36:47.540175,2023-02-25 23:36:48.360658,0 days 00:00:00.820483,0.0028204504795599477,True,6548123,False,random,6.86436742719232e-05,COMPLETE
765,4747.566269203443,2023-02-25 23:41:56.665234,2023-02-25 23:41:57.412292,0 days 00:00:00.747058,0.0018629345978951562,True,8414079,False,cyclic,0.009638588586725599,COMPLETE
293,4747.653091419122,2023-02-25 23:37:11.995857,2023-02-25 23:37:12.508582,0 days 00:00:00.512725,0.0026805589022459502,True,4745038,False,cyclic,0.0035631616430196063,COMPLETE
336,4748.0579164626,2023-02-25 23:37:32.404007,2023-02-25 23:37:32.934343,0 days 00:00:00.530336,0.002945380168536572,True,3933668,False,cyclic,0.0032916828457474874,COMPLETE
784,4748.174819295518,2023-02-25 23:42:09.541531,2023-02-25 23:42:10.300729,0 days 00:00:00.759198,0.003018575064794848,True,2417921,False,cyclic,0.003295484001886193,COMPLETE
430,4748.236771459283,2023-02-25 23:38:14.681770,2023-02-25 23:38:15.287350,0 days 00:00:00.605580,0.002885013612112384,True,4413257,False,cyclic,0.00571279849091855,COMPLETE
740,4748.343305763079,2023-02-25 23:41:39.012952,2023-02-25 23:41:39.780839,0 days 00:00:00.767887,0.0031171961773557785,True,4202515,False,cyclic,0.00324779027573197,COMPLETE
265,4748.405478840158,2023-02-25 23:37:00.520530,2023-02-25 23:37:01.003379,0 days 00:00:00.482849,0.0031194884127460154,True,1439183,False,cyclic,0.0037937716405224767,COMPLETE
335,4748.5039856401545,2023-02-25 23:37:31.869361,2023-02-25 23:37:32.403516,0 days 00:00:00.534155,0.003178908163845264,True,4083679,False,cyclic,0.0037285600539406663,COMPLETE
176,4748.549704024516,2023-02-25 23:36:21.074848,2023-02-25 23:36:21.530438,0 days 00:00:00.455590,0.0031100341765223673,True,3654472,False,random,0.0022796043582136525,COMPLETE
