feature,weight,std
horsepower,0.12217414124359352,0.0007357926273173027
mileage,0.07602925627943455,0.0006115293189002738
width,0.07436763213980149,0.0006783389465616343
year,0.06999671345254303,0.0008030413501733509
fuel_tank_volume,0.05228020395307027,0.0002725038175594455
height,0.050571154974285173,0.00023157039540024792
engine_displacement,0.028535590425806466,0.0002988064536777191
horsepower_rpm,0.028165661550590436,0.0002312873998195259
wheel_system_display_Front-Wheel Drive,0.026735379712890684,0.0002031746253664327
city_fuel_economy,0.026213453590088708,0.00010584917451781635
maximum_seating,0.024609820866850773,0.00027793015421362117
savings_amount,0.024015930664351502,0.00018188172104937893
highway_fuel_economy,0.023663467282761565,0.0002905907536933364
back_legroom,0.0210934018631725,0.0001444979609645389
length,0.02094771638027724,0.00011015382576302506
wheelbase,0.018326271432331544,6.11849417377866e-05
wheel_system_display_Four-Wheel Drive,0.008886342459521713,0.00016832863055115974
front_legroom,0.007995232720973754,2.384737735999137e-05
is_new,0.007159257167494415,0.0001490000878070126
daysonmarket,0.006578887012674284,0.00012386810151683697
