depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,random_state,task_type,loss,iteration
6,247,0.47777911102705295,0.12849476486110076,19,6,42,GPU,2799.547054014894,47
11,276,0.6720148255891957,0.027115427769669073,13,13,42,GPU,2820.9632054742333,12
6,234,0.9310904412306426,0.12326730252735676,9,5,42,GPU,2823.378411648765,70
6,269,0.8335767871598956,0.09180590095436898,14,17,42,GPU,2854.218182124539,42
11,121,0.5306074394294028,0.050083119509727936,2,11,42,GPU,2888.112284420002,2
7,186,0.8086860273539883,0.07075532600963794,16,7,42,GPU,2985.49762196031,78
12,187,0.5062172278505812,0.019103923929097294,7,8,42,GPU,3046.15216117281,83
6,475,0.07054663353483542,0.02950291192290117,17,8,42,GPU,3083.704649834688,6
7,158,0.5619952217581352,0.0412289872650248,5,4,42,GPU,3333.507998102702,52
7,240,0.3120415967473234,0.023541427044014133,7,15,42,GPU,3414.4128855588488,16
12,159,0.7254898003190403,0.013822953019051176,8,16,42,GPU,3424.787956896349,50
6,138,0.7755895160681927,0.03117721842235978,6,3,42,GPU,3780.850176236856,81
6,188,0.13798254019246742,0.0062722033520392845,13,14,42,GPU,5332.087102802899,15
10,226,0.6370009831186609,0.0006124664494897569,2,15,42,GPU,8615.119231945324,63
