iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
82,4996.209359589912,2023-02-25 23:51:39.098804,2023-02-25 23:51:39.971633,0 days 00:00:00.872829,4.0,2.179960341082524e-06,1.0,0.0036148943069466534,17,778,epsilon_insensitive,6342202,True,l1,COMPLETE
79,4996.54368277165,2023-02-25 23:51:36.566756,2023-02-25 23:51:37.353751,0 days 00:00:00.786995,7.7,8.155788138142582e-05,1.0,0.006213495614446619,12,8241,epsilon_insensitive,6277382,True,l1,COMPLETE
90,4996.773718168394,2023-02-25 23:51:44.443687,2023-02-25 23:51:45.089915,0 days 00:00:00.646228,6.0,4.007855244354203e-05,0.9,0.00395507035214165,14,7572,epsilon_insensitive,7567513,True,l1,COMPLETE
83,4999.625170211902,2023-02-25 23:51:39.971955,2023-02-25 23:51:40.595321,0 days 00:00:00.623366,4.8,5.0294127055697116e-05,1.0,0.00750357799633218,17,206,epsilon_insensitive,6493993,True,l1,COMPLETE
60,5003.7975323118,2023-02-25 23:51:16.836556,2023-02-25 23:51:17.509855,0 days 00:00:00.673299,8.2,0.00020570954571632252,0.30000000000000004,0.009307803215978877,18,7036,epsilon_insensitive,6668478,True,l1,COMPLETE
61,5005.867770446618,2023-02-25 23:51:17.510165,2023-02-25 23:51:18.183595,0 days 00:00:00.673430,8.1,0.00021478586308209613,0.30000000000000004,0.008668812518240428,18,6982,epsilon_insensitive,6571086,True,l1,COMPLETE
35,5010.737267212332,2023-02-25 23:51:04.820508,2023-02-25 23:51:05.449980,0 days 00:00:00.629472,5.5,0.0003446245950252981,0.4,0.0022392670755137364,17,7743,epsilon_insensitive,6172964,True,l1,COMPLETE
42,5013.1814935502925,2023-02-25 23:51:08.418764,2023-02-25 23:51:09.049944,0 days 00:00:00.631180,7.1,0.00018919198431089463,0.4,0.007146982333559198,17,6801,epsilon_insensitive,7477902,True,l1,COMPLETE
46,5021.092159992998,2023-02-25 23:51:10.295768,2023-02-25 23:51:10.916179,0 days 00:00:00.620411,8.7,0.00030303237262874216,0.4,0.0037145803963225415,19,8043,epsilon_insensitive,8309708,True,l1,COMPLETE
51,5024.222259360232,2023-02-25 23:51:12.457398,2023-02-25 23:51:13.082999,0 days 00:00:00.625601,7.5,0.00019054138487157305,0.4,0.006178055488852967,17,6905,epsilon_insensitive,7400302,True,l1,COMPLETE
97,5024.461063532273,2023-02-25 23:51:53.914319,2023-02-25 23:51:54.495161,0 days 00:00:00.580842,5.6,0.00016777172199360424,0.9,0.008674493398072481,18,994,epsilon_insensitive,8054105,True,l1,COMPLETE
34,5027.463462116765,2023-02-25 23:51:04.177105,2023-02-25 23:51:04.820213,0 days 00:00:00.643108,4.3999999999999995,0.00040078554699250426,0.4,0.0058374216872635375,17,7434,epsilon_insensitive,6069773,True,l1,COMPLETE
76,5034.690765844715,2023-02-25 23:51:33.010529,2023-02-25 23:51:33.535705,0 days 00:00:00.525176,6.5,0.00011934142223127174,0.8,0.008070388085170917,14,8589,epsilon_insensitive,4454317,True,l1,COMPLETE
55,5034.742866862122,2023-02-25 23:51:14.889645,2023-02-25 23:51:15.483609,0 days 00:00:00.593964,9.5,0.00010175004620475287,0.30000000000000004,0.010746953124720815,20,5995,epsilon_insensitive,8118381,True,l1,COMPLETE
85,5037.747362883351,2023-02-25 23:51:41.717324,2023-02-25 23:51:42.292921,0 days 00:00:00.575597,3.8000000000000003,3.6922492546405913e-05,0.8,0.01283016682471565,17,368,epsilon_insensitive,6841018,True,l1,COMPLETE
93,5053.00503074243,2023-02-25 23:51:48.554993,2023-02-25 23:51:49.431503,0 days 00:00:00.876510,5.0,1.7308944938815892e-05,1.0,0.006134378250387906,16,1375,epsilon_insensitive,6959832,True,l1,COMPLETE
98,5069.249291554933,2023-02-25 23:51:54.495512,2023-02-25 23:51:55.181671,0 days 00:00:00.686159,6.1,3.09452389617714e-05,0.8,0.007739961081837725,15,1770,epsilon_insensitive,3907870,True,l1,COMPLETE
62,5110.149001947547,2023-02-25 23:51:18.183906,2023-02-25 23:51:18.842540,0 days 00:00:00.658634,8.1,0.00018031283866131492,0.30000000000000004,0.005726386170289836,20,7036,epsilon_insensitive,7400742,True,l1,COMPLETE
48,5127.809597738995,2023-02-25 23:51:11.215852,2023-02-25 23:51:11.899112,0 days 00:00:00.683260,5.7,0.000233798285895066,0.5,0.01099752085792693,20,8691,epsilon_insensitive,9069323,True,l1,COMPLETE
89,5226.531659461723,2023-02-25 23:51:43.849213,2023-02-25 23:51:44.443370,0 days 00:00:00.594157,4.6,0.00011829116264625228,1.0,0.01469098745549743,13,1545,epsilon_insensitive,9987218,True,l1,COMPLETE
66,5264.724544095974,2023-02-25 23:51:20.881722,2023-02-25 23:51:21.754103,0 days 00:00:00.872381,6.9,0.00023660445128512438,0.5,0.004226922318615868,16,9530,epsilon_insensitive,4906203,True,l1,COMPLETE
32,5608.479060308059,2023-02-25 23:51:03.618037,2023-02-25 23:51:03.926287,0 days 00:00:00.308250,4.3,0.00039403308340685506,0.2,0.001857026108019447,16,7356,epsilon_insensitive,2391747,False,l2,COMPLETE
