iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,max_iter,penatly,state
430,4971.794764671134,2023-02-25 23:55:06.210797,2023-02-25 23:55:07.687224,0 days 00:00:01.476427,11.4,0.00012593491691114718,1.2,0.004775227099496373,15,2771,2304281,l1,COMPLETE
543,4972.371861776467,2023-02-25 23:56:14.235246,2023-02-25 23:56:15.527480,0 days 00:00:01.292234,10.8,0.00010142203686153313,1.2,0.010009040483433785,21,2892,1958377,l1,COMPLETE
911,4975.381022471268,2023-02-26 00:00:59.554023,2023-02-26 00:01:01.195012,0 days 00:00:01.640989,11.100000000000001,0.00011111579662873827,1.1,0.006620751679136722,25,2813,2195794,l1,COMPLETE
820,4975.452473854742,2023-02-25 23:59:37.938984,2023-02-25 23:59:39.763002,0 days 00:00:01.824018,10.9,0.00010355546603246406,1.2,0.0033260095626642984,21,2748,1538357,l1,COMPLETE
723,4978.391909280824,2023-02-25 23:58:22.503392,2023-02-25 23:58:24.215605,0 days 00:00:01.712213,9.8,0.00014839367521452869,1.2,0.00541616590828911,21,2849,2066022,l1,COMPLETE
838,4984.98126023114,2023-02-25 23:59:56.795467,2023-02-25 23:59:58.392026,0 days 00:00:01.596559,11.0,0.00014948293451715825,1.2,0.00783854457924444,23,2684,3099314,l1,COMPLETE
712,4987.46773732688,2023-02-25 23:58:11.807149,2023-02-25 23:58:13.526603,0 days 00:00:01.719454,10.5,0.0001089112730575517,1.2,0.00012514037937817095,21,2831,1606852,l1,COMPLETE
538,4990.103053077969,2023-02-25 23:56:10.596552,2023-02-25 23:56:11.644682,0 days 00:00:01.048130,10.7,0.00011444911289048198,1.2,0.0037213585400419137,20,2793,1884046,l1,COMPLETE
354,4994.630710037651,2023-02-25 23:54:22.269956,2023-02-25 23:54:23.005473,0 days 00:00:00.735517,11.4,0.00018692073757117198,1.2,0.001956186990184836,10,2780,1755268,l1,COMPLETE
345,4997.462583159427,2023-02-25 23:54:15.301553,2023-02-25 23:54:16.022806,0 days 00:00:00.721253,11.100000000000001,0.0005365291557158299,1.2,0.0018319093273191913,10,2841,2825513,l1,COMPLETE
406,4998.003279802377,2023-02-25 23:54:53.231070,2023-02-25 23:54:53.973951,0 days 00:00:00.742881,10.8,0.00019029608883485701,1.2,0.006123801548746489,10,2768,1818966,l1,COMPLETE
344,4998.370682334268,2023-02-25 23:54:14.578243,2023-02-25 23:54:15.301029,0 days 00:00:00.722786,11.100000000000001,0.0004874842198591377,1.2,0.001973277752906811,10,2833,1743036,l1,COMPLETE
361,5001.053657269745,2023-02-25 23:54:26.307487,2023-02-25 23:54:27.007662,0 days 00:00:00.700175,11.5,0.0010746966582059325,1.2,0.003538415074343217,10,2804,1731804,l1,COMPLETE
358,5001.053657269745,2023-02-25 23:54:24.545672,2023-02-25 23:54:25.199936,0 days 00:00:00.654264,11.5,0.00120056623419835,1.2,0.002408993837049591,10,2841,545953,l1,COMPLETE
400,5001.133780324089,2023-02-25 23:54:50.358380,2023-02-25 23:54:51.027990,0 days 00:00:00.669610,11.4,0.0001435813800743063,1.2,0.006145992447997923,10,2759,1760373,l1,COMPLETE
380,5001.133780324089,2023-02-25 23:54:39.256960,2023-02-25 23:54:39.984773,0 days 00:00:00.727813,11.4,0.0002383834525688751,1.2,0.004357356583712066,10,2771,1799662,l1,COMPLETE
