boosting_type,colsample_bytree,device_type,force_col_wise,learning_rate,max_depth,metric,n_estimators,num_leaves,objective,random_state,reg_alpha,reg_lambda,verbosity,subsample,loss,iteration
gbdt,0.990710247020252,gpu,+,0.1532468845606874,11,rmse,664,149,regression,42,0.21368623311905155,0.6081935133906204,-1,0.7521090621184197,2396.705123053008,160
gbdt,0.9990197319105564,gpu,+,0.13443271095173615,11,rmse,650,143,regression,42,0.13676177893122635,0.6783165993977724,-1,0.6583372823931356,2397.3821386755544,158
gbdt,0.9995751865260794,gpu,+,0.12392931567192075,10,rmse,617,149,regression,42,0.4909270260740202,0.5849788734177525,-1,0.7119064796473916,2397.586795733016,264
gbdt,0.9904890960644278,gpu,+,0.12882423730299494,11,rmse,664,132,regression,42,0.1373616724921747,0.6718840445981197,-1,0.6516561338102027,2397.796950518416,156
gbdt,0.7614564611192047,gpu,+,0.09783821550226952,10,rmse,657,132,regression,42,0.19109552314694853,0.7070293689837563,-1,0.6534071869865867,2399.254926281866,73
gbdt,0.9747589962641829,gpu,+,0.11260942785493232,10,rmse,619,144,regression,42,0.3914386984099997,0.5304570472192713,-1,0.6678953981099335,2400.409601190145,99
gbdt,0.9671930612305868,gpu,+,0.10518223549381088,10,rmse,624,142,regression,42,0.07909131800443389,0.4797843377549311,-1,0.635822747536261,2400.491987067208,148
gbdt,0.843374523116799,gpu,+,0.10492106279220953,10,rmse,640,132,regression,42,0.23071117568906774,0.7482823001473345,-1,0.6067552306052846,2400.535238545536,76
gbdt,0.9732907526704598,gpu,+,0.11418281236788046,10,rmse,594,146,regression,42,0.08758947692811969,0.42919358107475686,-1,0.6182749012805099,2400.829289970996,95
gbdt,0.7687618014692887,gpu,+,0.1634087092679801,9,rmse,631,147,regression,42,0.10999730614119946,0.4100806886854459,-1,0.7819366602346363,2401.101958903711,65
gbdt,0.7607969288697555,gpu,+,0.11908054473404053,10,rmse,544,148,regression,42,0.23326271917510727,0.5095552296519784,-1,0.6568142247358459,2401.1672363427647,72
gbdt,0.8642841955673717,gpu,+,0.09583745500169608,10,rmse,652,132,regression,42,0.16438491273689448,0.8981281829569956,-1,0.5925128623223698,2402.839970238292,79
gbdt,0.8763011815233607,gpu,+,0.11701864409056029,11,rmse,540,146,regression,42,0.33364980001339695,0.8963027255741245,-1,0.7684189298688628,2403.258037364938,245
gbdt,0.9644969383264581,gpu,+,0.1349485284222984,11,rmse,664,114,regression,42,0.35230884501065407,0.5184744644092674,-1,0.7335683362738263,2403.403235336497,184
gbdt,0.7507518541770943,gpu,+,0.1643818061324815,9,rmse,544,148,regression,42,0.00704969296519195,0.39849934652193053,-1,0.7319238692645845,2403.8303735307045,59
gbdt,0.8994673359902492,gpu,+,0.15310943922465584,11,rmse,663,111,regression,42,0.01861343880366334,0.8304224245011314,-1,0.6805000674555883,2404.414350581504,138
gbdt,0.9906413624880598,gpu,+,0.09309893333290586,10,rmse,697,129,regression,42,0.2874105918642563,0.47089923878578843,-1,0.6480130183646018,2404.477434957628,260
gbdt,0.9755588071851784,gpu,+,0.15398602596402067,10,rmse,548,143,regression,42,0.17832721602591864,0.6692129233749364,-1,0.6953133787278334,2405.0382459238544,261
gbdt,0.955660428552236,gpu,+,0.1000831328942297,10,rmse,621,132,regression,42,0.7445295488329885,0.6863615926735629,-1,0.7382283747505959,2406.0906654386904,268
gbdt,0.9546422153418606,gpu,+,0.1164014285166468,10,rmse,550,139,regression,42,0.19937955889770187,0.27755744905387775,-1,0.5834570093006644,2406.290673546789,152
gbdt,0.9547063842662523,gpu,+,0.0875439408637699,11,rmse,674,126,regression,42,0.14803144975460691,0.697131977812215,-1,0.7889525139616547,2406.401284806608,218
gbdt,0.948738650415891,gpu,+,0.18125326385348642,11,rmse,589,135,regression,42,0.2600634081677043,0.5632225295160376,-1,0.8911623004199427,2406.950102905833,174
gbdt,0.9504252067615345,gpu,+,0.11005568430721978,11,rmse,688,103,regression,42,0.04097324350108486,0.5819744102791922,-1,0.7144766519813172,2407.0040510703125,289
gbdt,0.7733135388453252,gpu,+,0.14288181730984761,9,rmse,532,147,regression,42,0.2557674636068107,0.22281669816901195,-1,0.7643529869774562,2407.748926833301,28
gbdt,0.9239787146748772,gpu,+,0.15021387613497808,11,rmse,654,103,regression,42,0.6647098030965252,0.2680403323524153,-1,0.6602670484273332,2407.81255775565,120
gbdt,0.977525739420062,gpu,+,0.1171020910283554,10,rmse,499,146,regression,42,0.12346321285383097,0.43667433264549754,-1,0.6161485002674277,2407.8597611213863,146
gbdt,0.7937433569578032,gpu,+,0.17119548309886595,10,rmse,614,107,regression,42,0.4789963689870449,0.633763336495649,-1,0.5734652907595803,2407.86265488358,132
gbdt,0.9992049138062179,gpu,+,0.07835898318368101,11,rmse,671,130,regression,42,0.019927286092433133,0.7990901934183853,-1,0.7071680664692884,2408.140254355096,181
gbdt,0.9683537504825254,gpu,+,0.13808308344704612,10,rmse,619,108,regression,42,0.5031238686481729,0.5660906366426155,-1,0.6704732974553188,2408.146235558316,262
gbdt,0.9731733713953672,gpu,+,0.12375543157408411,11,rmse,503,137,regression,42,0.2938573999597257,0.7386411158128612,-1,0.678005830873456,2408.2035202720444,172
gbdt,0.9792079028905255,gpu,+,0.18137456193975907,11,rmse,475,149,regression,42,0.38115995322832774,0.6746737605285386,-1,0.7140311350473525,2408.9680562521708,235
gbdt,0.8127332350753115,gpu,+,0.13691402918329537,9,rmse,682,93,regression,42,0.6110914480879551,0.2502971172660304,-1,0.9033039281035535,2408.976338953794,27
gbdt,0.94672712014482,gpu,+,0.19319489704257312,11,rmse,664,143,regression,42,0.25231150725036683,0.6540270812564486,-1,0.7683373979998007,2409.0422868081605,163
gbdt,0.79891750789523,gpu,+,0.1466139797635403,8,rmse,626,114,regression,42,0.033045802539754685,0.8341752892247509,-1,0.5693294123465942,2409.261840075903,94
gbdt,0.8870711845522145,gpu,+,0.14146332643917275,11,rmse,547,111,regression,42,0.0007676823865921112,0.7022584294062758,-1,0.7451783489057544,2409.3330796911105,229
gbdt,0.7733848637071395,gpu,+,0.12364771230022868,9,rmse,492,147,regression,42,0.6137939528624089,0.22334263685317468,-1,0.8768236870825695,2409.769981774099,25
gbdt,0.7942126156185296,gpu,+,0.18441819362897716,9,rmse,613,120,regression,42,0.16948309125933037,0.5381197078503633,-1,0.776019029053808,2410.0704219798217,67
gbdt,0.9998875966243224,gpu,+,0.1834364047853779,10,rmse,617,127,regression,42,0.8050978935644667,0.7403779868237744,-1,0.7529553155496425,2410.2807347210737,265
gbdt,0.9611436673133347,gpu,+,0.19497354759907332,11,rmse,684,117,regression,42,0.23161055994483754,0.5534988444141217,-1,0.816523294708053,2410.5726802639206,238
gbdt,0.8947487974199626,gpu,+,0.1151972492903491,11,rmse,437,149,regression,42,0.18766403938681334,0.6681382067273125,-1,0.5906524704882735,2411.3029028485125,193
gbdt,0.9873421426545245,gpu,+,0.1287015190727737,11,rmse,519,121,regression,42,0.12098521912719168,0.4491243882589517,-1,0.7384465249011535,2411.375476339377,242
gbdt,0.9571211418597609,gpu,+,0.10983749642722967,8,rmse,659,138,regression,42,0.20116209556116232,0.802168126505276,-1,0.6395462699383841,2412.195996585403,280
gbdt,0.9580874669291298,gpu,+,0.15378326403704876,11,rmse,573,102,regression,42,0.005273927941490619,0.7067125531508236,-1,0.7892132096660013,2412.777163075936,166
gbdt,0.8663121228303159,gpu,+,0.16158673876681368,9,rmse,501,129,regression,42,0.5445937451735743,0.29937633803278757,-1,0.830114784026673,2412.893556077738,54
gbdt,0.7692930207810181,gpu,+,0.20448696080285972,9,rmse,631,102,regression,42,0.035896094045273275,0.5995863945955763,-1,0.783674305397889,2413.153387946918,70
gbdt,0.7670320762049614,gpu,+,0.16131763720450112,9,rmse,422,147,regression,42,0.1081078625452469,0.3865205981234249,-1,0.720533705608354,2413.292333186415,66
gbdt,0.8570764033629729,gpu,+,0.14792925610687568,11,rmse,406,139,regression,42,0.9451561479984338,0.39575082634137304,-1,0.6565084367699189,2413.4423151450965,241
gbdt,0.9806326201096375,gpu,+,0.13046666347576721,11,rmse,641,90,regression,42,0.12882445853705193,0.6802850014670593,-1,0.7009539828233607,2414.0493197577603,159
gbdt,0.9869225686359453,gpu,+,0.09490118885241533,11,rmse,520,136,regression,42,0.13791279326852973,0.5456096858288881,-1,0.9335240486355936,2414.131629225756,180
gbdt,0.9909861630639979,gpu,+,0.20088296160922425,10,rmse,619,99,regression,42,0.39674178692018586,0.6281623597381261,-1,0.5187815971481011,2414.154906137307,103
gbdt,0.9651714950297929,gpu,+,0.06870199278593554,11,rmse,664,132,regression,42,0.21222761334620935,0.8822149884009253,-1,0.6924322333365716,2414.525670904058,175
gbdt,0.8261704836041872,gpu,+,0.18147070746851526,9,rmse,505,116,regression,42,0.7006214446213659,0.9554779863099281,-1,0.9283882390345366,2414.6699827750404,10
gbdt,0.9905053871340167,gpu,+,0.2138891879911411,11,rmse,632,118,regression,42,0.0642113411320882,0.6872460739559896,-1,0.7404222625937552,2415.078707635939,176
gbdt,0.786765084781717,gpu,+,0.17037990811637124,11,rmse,549,98,regression,42,0.21135075927979977,0.7362319655410741,-1,0.8834770598242272,2415.104217481282,220
gbdt,0.7807996360613741,gpu,+,0.09208788702500788,9,rmse,529,143,regression,42,0.14337580863322175,0.5668566998465974,-1,0.7304091849897896,2415.6286858616686,62
gbdt,0.7892857093166648,gpu,+,0.1112326707978876,11,rmse,470,121,regression,42,0.21652593199441567,0.6505322293694994,-1,0.6801537385644149,2415.829399098569,63
gbdt,0.926027185506002,gpu,+,0.0933273520361875,10,rmse,482,142,regression,42,0.15954112673017254,0.5892543763047022,-1,0.6723941219682622,2416.909379960801,151
gbdt,0.9296370345381019,gpu,+,0.1521088408490364,11,rmse,403,133,regression,42,0.7683981480666476,0.6685534709424058,-1,0.606182060685928,2416.937735879656,284
gbdt,0.9406236494148318,gpu,+,0.16429047581390502,11,rmse,645,79,regression,42,0.1588356836243368,0.6335957447821523,-1,0.8081855730010483,2417.3076977608184,173
gbdt,0.9997393401658061,gpu,+,0.177380959486715,11,rmse,600,89,regression,42,0.0034165940050163712,0.7147200470842303,-1,0.6447633968761433,2417.5305495951325,190
gbdt,0.9810220669260723,gpu,+,0.059633112659353636,10,rmse,681,149,regression,42,0.7361978502452504,0.6411697890473907,-1,0.7486789923958967,2418.044102894797,270
gbdt,0.7662348987057749,gpu,+,0.15663962113115898,11,rmse,408,116,regression,42,0.06831864798009676,0.9273693633373052,-1,0.5439190081890085,2418.0450486479003,214
gbdt,0.9495468233922059,gpu,+,0.13826542315957865,8,rmse,495,145,regression,42,0.6095549793002587,0.49695319646132824,-1,0.6956432471667728,2418.515472664604,144
gbdt,0.9476398432375018,gpu,+,0.08735544535602363,10,rmse,618,112,regression,42,0.07598418268632595,0.7671173180513697,-1,0.9198567510279241,2418.554825429984,274
gbdt,0.9959643726848084,gpu,+,0.20208811330101242,10,rmse,624,94,regression,42,0.023861118772714837,0.47214038355191384,-1,0.6454411802058643,2418.561167447265,150
gbdt,0.9853518360360729,gpu,+,0.223786786869084,10,rmse,534,149,regression,42,0.6817819743298149,0.5945105638742897,-1,0.7088810143741209,2419.116289148278,266
gbdt,0.9645044780919809,gpu,+,0.1274015388681565,10,rmse,410,136,regression,42,0.20984370737593502,0.9202614055370778,-1,0.6203061828014723,2419.5415976172594,97
gbdt,0.8357912227393259,gpu,+,0.2044700772187346,9,rmse,554,94,regression,42,0.875190273099527,0.2345727797373888,-1,0.8112336282160072,2419.828435577693,52
gbdt,0.9457871972362247,gpu,+,0.2212531167587005,9,rmse,586,128,regression,42,0.26214416989466477,0.8384580929010017,-1,0.851205841676189,2419.911793166172,230
gbdt,0.7513942979372464,gpu,+,0.23086942426754775,9,rmse,616,149,regression,42,0.10335632398654435,0.36409445161476783,-1,0.7417991779770761,2420.154925599567,71
gbdt,0.9958786780536283,gpu,+,0.1727839892332494,11,rmse,425,114,regression,42,0.7896310358251162,0.5069206620021005,-1,0.7322886279201759,2420.2190288775923,275
gbdt,0.999725741067893,gpu,+,0.12649578199939485,9,rmse,453,124,regression,42,0.6918181599996693,0.5351491263632534,-1,0.77431032941738,2420.981581694268,283
gbdt,0.9725793887879803,gpu,+,0.1834431558505294,11,rmse,463,104,regression,42,0.11039625751544972,0.6019477038070576,-1,0.6735965938052104,2421.5592372103547,287
gbdt,0.9993422502354162,gpu,+,0.12889314265931368,10,rmse,514,101,regression,42,0.9140279229213327,0.5509135259485515,-1,0.6896284146650653,2421.7263791779665,269
gbdt,0.9840054508297049,gpu,+,0.14097413267690628,11,rmse,679,72,regression,42,0.20825447187060736,0.8102730929827617,-1,0.74635232454124,2421.969627053465,168
gbdt,0.8382709613819929,gpu,+,0.07052711923416696,10,rmse,545,147,regression,42,0.43802918644092326,0.7995534416071729,-1,0.792627845786493,2422.0505753221105,6
gbdt,0.8406285933671378,gpu,+,0.2303540348668768,11,rmse,619,132,regression,42,0.585709397854416,0.48112014338960896,-1,0.6531885282279766,2422.0831716754574,110
gbdt,0.8714307056332127,gpu,+,0.18582974772717167,7,rmse,675,133,regression,42,0.0022398836490897245,0.6391252185131717,-1,0.5793656032409615,2422.1114166095617,207
gbdt,0.7504036685543307,gpu,+,0.08587873992570187,10,rmse,687,93,regression,42,0.15390254779873358,0.5738940694641715,-1,0.7733685251916659,2422.411027057099,49
gbdt,0.7688280173115307,gpu,+,0.1956954760628007,11,rmse,493,85,regression,42,0.272836555953869,0.7205322374959726,-1,0.6946653805073667,2422.474487933139,298
gbdt,0.8024038338288697,gpu,+,0.13431148638900514,8,rmse,580,92,regression,42,0.1874116436063466,0.49335896316051153,-1,0.6056020517020765,2422.899351793737,210
gbdt,0.9687228425175872,gpu,+,0.14150788410181345,10,rmse,461,105,regression,42,0.6283052413306082,0.4282857314988426,-1,0.7119963734742005,2422.980438509056,276
gbdt,0.968583928299099,gpu,+,0.10528537175485327,10,rmse,521,109,regression,42,0.0986066063105463,0.5395603695547709,-1,0.6353271906002482,2423.27736652819,149
gbdt,0.8617271756176305,gpu,+,0.14435695092698284,11,rmse,464,96,regression,42,0.24677081211199503,0.8524169861257456,-1,0.7098643389008414,2423.9213811031923,202
gbdt,0.9329181661147665,gpu,+,0.2225633981123316,11,rmse,629,83,regression,42,0.11476152455010719,0.6726919953235249,-1,0.7288488740029606,2424.484626761069,169
gbdt,0.7901666165809634,gpu,+,0.16489362550127803,10,rmse,542,77,regression,42,0.4453416139228469,0.521068556274448,-1,0.7327785041364732,2425.111926339192,295
gbdt,0.9612754350159048,gpu,+,0.07463331632785557,10,rmse,524,142,regression,42,0.0016208162857291597,0.3399955877071832,-1,0.600038788998828,2425.1242850163,153
gbdt,0.7509205045811367,gpu,+,0.10633242080149231,9,rmse,576,96,regression,42,0.5298974038879187,0.9997095811168852,-1,0.8765629775661338,2425.207495523754,21
gbdt,0.8551061829681105,gpu,+,0.07060847910031066,9,rmse,646,123,regression,42,0.19157491348487182,0.3787052722835926,-1,0.5969883417235751,2425.703414553392,38
gbdt,0.8931341436441358,gpu,+,0.23850715147557175,10,rmse,664,115,regression,42,0.12416289827007188,0.6490980550516365,-1,0.8050624160845583,2426.097869215576,291
gbdt,0.8837964316123966,gpu,+,0.12623967292185173,8,rmse,430,138,regression,42,0.3096031843133542,0.8124043517085144,-1,0.5375643638540076,2427.020081547098,108
gbdt,0.7727362680912822,gpu,+,0.0958310761186113,10,rmse,440,128,regression,42,0.1506335036371197,0.3753025601710914,-1,0.65048085262521,2427.44046455511,136
gbdt,0.9731747192867147,gpu,+,0.15099171477103795,11,rmse,481,88,regression,42,0.31416368697200237,0.5849953548086487,-1,0.6859531564324747,2428.038976824156,185
gbdt,0.9951063941811684,gpu,+,0.100509820866551,9,rmse,473,123,regression,42,0.11521121423542485,0.4426762514829602,-1,0.6305802179997966,2428.7516981843005,211
gbdt,0.9832143242625865,gpu,+,0.24252377399943775,11,rmse,694,82,regression,42,0.09198197387156705,0.6592882913675997,-1,0.7711779239023766,2429.0959165150816,177
gbdt,0.9956877235490093,gpu,+,0.12194132945882927,7,rmse,685,116,regression,42,0.2952039900601152,0.3939384274896521,-1,0.6422875524900633,2429.342954213778,300
gbdt,0.918846713618913,gpu,+,0.171646662306325,10,rmse,538,73,regression,42,0.08012295503229183,0.5131966938179773,-1,0.55675726614003,2429.45048268194,154
gbdt,0.9025104012330364,gpu,+,0.1032405079041622,10,rmse,417,125,regression,42,0.3992383933527594,0.9469413819146845,-1,0.6179501112498132,2429.6057208424404,77
gbdt,0.9705408314140442,gpu,+,0.08342049687131878,10,rmse,522,117,regression,42,0.048976656801324014,0.21112673664221904,-1,0.6869320003537047,2429.737882939575,147
gbdt,0.9808781571994893,gpu,+,0.10900232842538823,10,rmse,564,85,regression,42,0.16868400513798193,0.7113380291208911,-1,0.7078410391841923,2430.5069748200885,124
gbdt,0.9515564962896348,gpu,+,0.24975932388805097,8,rmse,506,131,regression,42,0.09019707698352716,0.12314473817772797,-1,0.8329421730531773,2430.8267883615554,246
gbdt,0.9999693137775427,gpu,+,0.13536541508742397,10,rmse,608,70,regression,42,0.4925115915399487,0.5573352313312129,-1,0.6501485241497938,2430.8578137168183,286
gbdt,0.9107770713057789,gpu,+,0.08948142267082733,10,rmse,402,144,regression,42,0.501456216624142,0.5247370259740357,-1,0.671015091843622,2431.385003206553,100
gbdt,0.9612804935191771,gpu,+,0.15961804727632536,10,rmse,439,88,regression,42,0.7148881796968873,0.6305238052307116,-1,0.6567060021227923,2431.777129961373,267
gbdt,0.7618747419142081,gpu,+,0.07744103988230094,10,rmse,484,131,regression,42,0.30940216708679225,0.831457446986465,-1,0.5762707534710523,2431.859775314915,75
gbdt,0.9750753226347808,gpu,+,0.1298910914432549,7,rmse,672,92,regression,42,0.22433542433435816,0.34353813864489696,-1,0.7519906968749316,2431.882375725316,122
gbdt,0.969778301371006,gpu,+,0.17990758897604264,10,rmse,486,74,regression,42,0.43076879861096257,0.5507725158911481,-1,0.6319505878361331,2434.0230634230606,107
gbdt,0.9879321140245848,gpu,+,0.2557249858378018,11,rmse,418,120,regression,42,0.07460684454302623,0.45516863620959447,-1,0.7215729195827839,2434.401729423705,157
gbdt,0.9826485698726674,gpu,+,0.2557087081126818,10,rmse,527,96,regression,42,0.8467309091820663,0.8257576603231527,-1,0.6978841257284875,2434.786747674724,282
gbdt,0.9810676296343395,gpu,+,0.2404179796065213,8,rmse,558,75,regression,42,0.17031418804854204,0.7722607629510254,-1,0.6797007253472231,2435.21370080693,219
gbdt,0.9816078072963549,gpu,+,0.1062997887701245,10,rmse,584,79,regression,42,0.38798180168283014,0.6162187123140517,-1,0.6670516475653163,2435.6129550639284,258
gbdt,0.9710248599216869,gpu,+,0.0704327549722725,11,rmse,605,102,regression,42,0.17785376011236753,0.5071543915843401,-1,0.7025780963552096,2436.3353864264627,247
gbdt,0.9203993883796141,gpu,+,0.24111443740216135,11,rmse,452,78,regression,42,0.6810391246607139,0.6921104520712689,-1,0.9235115729903096,2436.550906955741,18
gbdt,0.8648007973307751,gpu,+,0.2634555775635195,9,rmse,658,92,regression,42,0.20965825960037265,0.10522950027200978,-1,0.7532997035738616,2436.730973447413,30
gbdt,0.9736212845501114,gpu,+,0.11035549045819157,11,rmse,498,85,regression,42,0.14234698801098652,0.7517984088902384,-1,0.7627469352813389,2436.7751895487936,205
gbdt,0.757253471081635,gpu,+,0.08334868690983156,10,rmse,537,98,regression,42,0.45393870364593414,0.745509816912686,-1,0.9434606801309137,2437.6983312793345,24
gbdt,0.7810678496850617,gpu,+,0.28908923883008986,8,rmse,603,134,regression,42,0.7256363257227365,0.6406401847026006,-1,0.65996769669864,2437.9485777810096,51
gbdt,0.939765596479218,gpu,+,0.22727420919176386,11,rmse,458,70,regression,42,0.10326873676896736,0.6902192948828048,-1,0.6160063522366069,2438.1164542227443,196
gbdt,0.8569458990593781,gpu,+,0.13610318189984924,7,rmse,533,103,regression,42,0.2581374866585107,0.18245036562021183,-1,0.6083721275740294,2438.1643153653854,33
gbdt,0.8706079045561579,gpu,+,0.2731911049292409,11,rmse,539,108,regression,42,0.29557818983655915,0.5527892948165245,-1,0.6802777266203259,2438.624263006338,89
gbdt,0.9874771353599537,gpu,+,0.09075680001012681,8,rmse,617,92,regression,42,0.34171480088295725,0.7849920379116798,-1,0.6194649127433955,2438.653018836628,292
gbdt,0.9515496433749931,gpu,+,0.06786451184303205,10,rmse,594,106,regression,42,0.0813099968483516,0.4388829894295557,-1,0.6468121683653635,2439.646050322465,98
gbdt,0.8296104470670299,gpu,+,0.18857540778239565,7,rmse,448,104,regression,42,0.12470065927231533,0.5158321119303967,-1,0.8398609157675758,2439.973310160029,17
gbdt,0.9972728435867634,gpu,+,0.08666065036511406,11,rmse,409,121,regression,42,0.10419194160862395,0.8258605136101416,-1,0.8651894289096707,2440.7900970221044,165
gbdt,0.9153356671132029,gpu,+,0.18795111519726324,7,rmse,441,113,regression,42,0.12606872823554466,0.9978590075602032,-1,0.5296947387763582,2441.022628889184,131
gbdt,0.9553689978719253,gpu,+,0.25222104764879366,10,rmse,429,80,regression,42,0.5271850028688789,0.7207110421289151,-1,0.5996882194254437,2441.621109619048,105
gbdt,0.9277566811830465,gpu,+,0.26574256768853427,11,rmse,469,76,regression,42,0.21767463538970117,0.8869631138640621,-1,0.6482245949098802,2442.293843770213,206
gbdt,0.994206552595356,gpu,+,0.07868828899425602,10,rmse,578,90,regression,42,0.31796190752797704,0.6013628748870405,-1,0.6165510234923525,2443.1787499328684,263
gbdt,0.9986521060550002,gpu,+,0.17915420221429934,8,rmse,450,70,regression,42,0.9209817283659104,0.6370340314241265,-1,0.7216228208979454,2443.597887865933,15
gbdt,0.964809311295254,gpu,+,0.11776254441303242,10,rmse,456,82,regression,42,0.3963331695385895,0.5225281791903398,-1,0.6352486091304472,2443.809418251556,259
gbdt,0.9914829903353304,gpu,+,0.2926735011963885,10,rmse,446,149,regression,42,0.6009652407284475,0.6605198202098911,-1,0.7655364527901048,2443.9165383667178,271
gbdt,0.9786785767397413,gpu,+,0.08082608700630968,8,rmse,583,104,regression,42,0.7637757775386307,0.5326016264044535,-1,0.5676998793699365,2444.393789345191,201
gbdt,0.9670570395523088,gpu,+,0.057885468682386296,11,rmse,680,98,regression,42,0.5825191822590031,0.688409220231518,-1,0.7585380570741352,2444.649977726166,293
gbdt,0.9929021077174969,gpu,+,0.26086510024510656,7,rmse,444,105,regression,42,0.21797925975193003,0.7530639716354245,-1,0.6745659615749793,2445.239815766348,189
gbdt,0.9369185358230029,gpu,+,0.3002548484333142,7,rmse,690,108,regression,42,0.2667239152403031,0.9387732758385252,-1,0.8474779294383941,2445.61682555463,182
gbdt,0.9839729199015201,gpu,+,0.1256644503762641,11,rmse,432,80,regression,42,0.038442069687617986,0.411195704978881,-1,0.6838086602852675,2445.702210927893,197
gbdt,0.9331016189231538,gpu,+,0.27993322687978106,11,rmse,488,86,regression,42,0.1304705388059681,0.5237554779406137,-1,0.6994011173558973,2445.780777097726,224
gbdt,0.9594134982126286,gpu,+,0.205111889439956,7,rmse,434,78,regression,42,0.42772463444700703,0.5462266683176558,-1,0.7174505623197913,2447.256062102293,216
gbdt,0.7912824044706845,gpu,+,0.04810948369489524,10,rmse,601,132,regression,42,0.1965645230323291,0.6881550808769072,-1,0.6547522802536656,2447.3787920754767,74
gbdt,0.9621024402220738,gpu,+,0.29368851099564414,9,rmse,528,148,regression,42,0.08416442659954645,0.49083097418976196,-1,0.6395167819978337,2447.875830119628,61
gbdt,0.8393173267008899,gpu,+,0.09239584660446322,8,rmse,445,120,regression,42,0.0237751860742388,0.42255492442352266,-1,0.6401465007846165,2448.704553047048,228
gbdt,0.7963322485050135,gpu,+,0.10193601703713233,10,rmse,505,76,regression,42,0.5572115796103589,0.9615850908243139,-1,0.7645243144129732,2449.5961058667444,22
gbdt,0.9916851536159355,gpu,+,0.2853281641233926,11,rmse,644,149,regression,42,0.14110104905713594,0.6107562453502677,-1,0.8368779582626096,2449.6247841771087,164
gbdt,0.9426748735021986,gpu,+,0.043635643732746476,10,rmse,640,137,regression,42,0.1314446847349734,0.6615947147625789,-1,0.6910009722075482,2451.4589300639773,83
gbdt,0.8161239617271412,gpu,+,0.08288322907663291,7,rmse,657,119,regression,42,0.5140712397778037,0.9885849699032736,-1,0.5747029670050811,2451.8679141571465,234
gbdt,0.8586407437806511,gpu,+,0.05472347098749038,10,rmse,666,97,regression,42,0.18193742936709623,0.7205998482881034,-1,0.6035669148563008,2452.013118892573,90
gbdt,0.9769972646053924,gpu,+,0.08087256442267542,11,rmse,525,87,regression,42,0.36899455956557603,0.6254063499641099,-1,0.6874052643180854,2452.4787485096995,296
gbdt,0.860754061309289,gpu,+,0.3041647019875785,10,rmse,677,124,regression,42,0.3223612495249675,0.5707849712372612,-1,0.6440715064549672,2452.6550177699373,114
gbdt,0.9783481312381572,gpu,+,0.0954949088232168,7,rmse,595,93,regression,42,0.6532817082390512,0.7181834480592246,-1,0.7231758022310905,2452.741451228112,277
gbdt,0.8074467525719536,gpu,+,0.3236176420508993,10,rmse,507,91,regression,42,0.3288514029156796,0.6201470763729114,-1,0.5014517959313108,2452.8833258180603,93
gbdt,0.9764138400257952,gpu,+,0.08421619574289062,8,rmse,436,147,regression,42,0.22275327815618828,0.6902126009951252,-1,0.7263939673826018,2452.8897178414254,255
gbdt,0.8224938757068293,gpu,+,0.16502758326492648,6,rmse,660,132,regression,42,0.3606040457221783,0.8142455895567702,-1,0.5326968651730608,2453.340529087752,244
gbdt,0.9348760585476051,gpu,+,0.06733444192152369,8,rmse,634,101,regression,42,0.727725743177325,0.41010395885331374,-1,0.6579191007046148,2453.573061140045,2
gbdt,0.7566557967707509,gpu,+,0.07108007125023895,9,rmse,572,90,regression,42,0.04177471931742445,0.4225621722338117,-1,0.8014673593036883,2453.6996565894137,68
gbdt,0.808567742789029,gpu,+,0.2509982043994053,6,rmse,532,85,regression,42,0.3321031856553689,0.44546622637325384,-1,0.7432882900232045,2455.8681511055665,36
