iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
55,3130.1904296875,2022-06-02 05:37:05.136416,2022-06-02 05:39:45.739263,0 days 00:02:40.602847,62.0,700.0,139.0,32.0,410.0,956.0,COMPLETE
85,3131.10498046875,2022-06-02 06:35:35.032659,2022-06-02 06:37:39.957192,0 days 00:02:04.924533,64.0,664.0,134.0,65.0,422.0,755.0,COMPLETE
65,3131.558837890625,2022-06-02 05:56:46.213522,2022-06-02 05:58:41.050132,0 days 00:01:54.836610,68.0,666.0,130.0,45.0,438.0,696.0,COMPLETE
54,3132.7412109375,2022-06-02 05:34:45.985383,2022-06-02 05:37:05.136296,0 days 00:02:19.150913,68.0,661.0,132.0,59.0,378.0,904.0,COMPLETE
70,3133.36474609375,2022-06-02 06:05:57.560095,2022-06-02 06:08:08.330838,0 days 00:02:10.770743,66.0,662.0,129.0,57.0,417.0,785.0,COMPLETE
67,3136.153076171875,2022-06-02 06:00:45.308706,2022-06-02 06:02:30.056124,0 days 00:01:44.747418,64.0,653.0,133.0,43.0,435.0,624.0,COMPLETE
47,3139.181640625,2022-06-02 05:24:20.432029,2022-06-02 05:25:30.870625,0 days 00:01:10.438596,62.0,671.0,131.0,26.0,215.0,504.0,COMPLETE
37,3139.99267578125,2022-06-02 05:07:59.126037,2022-06-02 05:10:13.961006,0 days 00:02:14.834969,47.0,678.0,141.0,46.0,304.0,903.0,COMPLETE
24,3141.746826171875,2022-06-02 04:47:03.283207,2022-06-02 04:48:20.588587,0 days 00:01:17.305380,54.0,698.0,101.0,43.0,292.0,535.0,COMPLETE
95,3142.017822265625,2022-06-02 06:56:57.576653,2022-06-02 06:59:20.232521,0 days 00:02:22.655868,69.0,681.0,117.0,43.0,479.0,840.0,COMPLETE
52,3142.405029296875,2022-06-02 05:30:15.609262,2022-06-02 05:32:22.355888,0 days 00:02:06.746626,64.0,688.0,116.0,55.0,336.0,840.0,COMPLETE
32,3142.502685546875,2022-06-02 04:59:10.556321,2022-06-02 05:00:39.223697,0 days 00:01:28.667376,33.0,663.0,136.0,53.0,252.0,631.0,COMPLETE
41,3142.779296875,2022-06-02 05:15:20.014537,2022-06-02 05:16:51.771973,0 days 00:01:31.757436,47.0,698.0,106.0,50.0,182.0,704.0,COMPLETE
58,3143.19189453125,2022-06-02 05:43:40.293069,2022-06-02 05:45:29.545750,0 days 00:01:49.252681,42.0,669.0,122.0,27.0,227.0,802.0,COMPLETE
30,3145.093505859375,2022-06-02 04:56:15.744524,2022-06-02 04:57:37.336894,0 days 00:01:21.592370,52.0,675.0,116.0,47.0,294.0,560.0,COMPLETE
42,3146.98828125,2022-06-02 05:16:51.772117,2022-06-02 05:18:41.574887,0 days 00:01:49.802770,67.0,677.0,111.0,46.0,237.0,791.0,COMPLETE
36,3149.322509765625,2022-06-02 05:06:08.089985,2022-06-02 05:07:59.125913,0 days 00:01:51.035928,41.0,641.0,144.0,30.0,271.0,770.0,COMPLETE
48,3152.71728515625,2022-06-02 05:25:30.870759,2022-06-02 05:26:47.192499,0 days 00:01:16.321740,56.0,639.0,141.0,21.0,189.0,565.0,COMPLETE
44,3153.2666015625,2022-06-02 05:20:23.288297,2022-06-02 05:21:16.514884,0 days 00:00:53.226587,50.0,644.0,138.0,29.0,156.0,412.0,COMPLETE
69,3155.362060546875,2022-06-02 06:04:20.008947,2022-06-02 06:05:57.559973,0 days 00:01:37.551026,68.0,619.0,148.0,48.0,471.0,578.0,COMPLETE
75,3156.06298828125,2022-06-02 06:16:04.697279,2022-06-02 06:18:09.207106,0 days 00:02:04.509827,60.0,629.0,142.0,61.0,473.0,736.0,COMPLETE
31,3156.651123046875,2022-06-02 04:57:37.337022,2022-06-02 04:59:10.556209,0 days 00:01:33.219187,44.0,652.0,135.0,52.0,204.0,685.0,COMPLETE
80,3158.501953125,2022-06-02 06:25:54.039474,2022-06-02 06:28:01.093336,0 days 00:02:07.053862,65.0,642.0,126.0,68.0,394.0,820.0,COMPLETE
57,3160.75390625,2022-06-02 05:41:35.581431,2022-06-02 05:43:40.292934,0 days 00:02:04.711503,49.0,648.0,134.0,59.0,258.0,888.0,COMPLETE
89,3162.044677734375,2022-06-02 06:43:33.261531,2022-06-02 06:45:48.155618,0 days 00:02:14.894087,51.0,656.0,131.0,63.0,375.0,857.0,COMPLETE
27,3171.674072265625,2022-06-02 04:51:49.850299,2022-06-02 04:53:15.097573,0 days 00:01:25.247274,59.0,661.0,110.0,63.0,268.0,615.0,COMPLETE
