iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
176,2834.093270955215,2023-02-25 17:27:00.963515,2023-02-25 17:31:16.610885,0 days 00:04:15.647370,96.0,1499.0,120.0,59.0,506.0,1303.0,COMPLETE
256,2834.367930817848,2023-02-25 23:08:40.063723,2023-02-25 23:12:42.063064,0 days 00:04:01.999341,93.0,1500.0,120.0,63.0,507.0,1231.0,COMPLETE
248,2834.375469870116,2023-02-25 22:34:43.793455,2023-02-25 22:39:00.075889,0 days 00:04:16.282434,97.0,1499.0,120.0,58.0,561.0,1193.0,COMPLETE
246,2834.3933541239876,2023-02-25 22:25:50.177505,2023-02-25 22:30:12.248716,0 days 00:04:22.071211,92.0,1500.0,121.0,58.0,549.0,1232.0,COMPLETE
284,2834.771373458009,2023-02-26 01:09:54.346843,2023-02-26 01:14:17.426907,0 days 00:04:23.080064,90.0,1500.0,120.0,57.0,656.0,1181.0,COMPLETE
120,2834.814140775849,2023-02-25 08:37:29.261673,2023-02-25 08:41:29.324824,0 days 00:04:00.063151,87.0,1498.0,120.0,48.0,616.0,1086.0,COMPLETE
122,2835.0485086406593,2023-02-25 08:45:07.688494,2023-02-25 08:49:08.734422,0 days 00:04:01.045928,82.0,1500.0,120.0,47.0,615.0,1080.0,COMPLETE
123,2835.4046386029127,2023-02-25 08:49:08.734776,2023-02-25 08:53:15.029965,0 days 00:04:06.295189,84.0,1498.0,120.0,47.0,615.0,1104.0,COMPLETE
77,2835.540530672409,2023-02-25 05:30:24.828038,2023-02-25 05:35:02.911002,0 days 00:04:38.082964,89.0,1498.0,120.0,56.0,569.0,1269.0,COMPLETE
228,2835.9049128070196,2023-02-25 21:02:36.307936,2023-02-25 21:07:18.224385,0 days 00:04:41.916449,92.0,1500.0,124.0,47.0,629.0,1271.0,COMPLETE
195,2836.2483080394372,2023-02-25 18:43:48.806595,2023-02-25 18:48:30.215010,0 days 00:04:41.408415,95.0,1499.0,124.0,47.0,624.0,1283.0,COMPLETE
85,2836.301976200423,2023-02-25 06:04:49.731422,2023-02-25 06:09:31.229568,0 days 00:04:41.498146,80.0,1500.0,120.0,56.0,584.0,1287.0,COMPLETE
152,2836.327860816768,2023-02-25 10:47:00.158682,2023-02-25 10:51:25.551624,0 days 00:04:25.392942,95.0,1500.0,122.0,52.0,654.0,1159.0,COMPLETE
293,2836.4548848268378,2023-02-26 01:49:50.522482,2023-02-26 01:54:31.024095,0 days 00:04:40.501613,89.0,1500.0,124.0,56.0,659.0,1241.0,COMPLETE
207,2836.48846343529,2023-02-25 19:37:49.033658,2023-02-25 19:41:47.724548,0 days 00:03:58.690890,96.0,1485.0,121.0,46.0,524.0,1125.0,COMPLETE
295,2836.569693331079,2023-02-26 01:59:11.582217,2023-02-26 02:03:40.164040,0 days 00:04:28.581823,84.0,1500.0,124.0,65.0,659.0,1183.0,COMPLETE
294,2836.808922818399,2023-02-26 01:54:31.024580,2023-02-26 01:59:11.581806,0 days 00:04:40.557226,85.0,1500.0,124.0,61.0,660.0,1244.0,COMPLETE
274,2836.8417226652077,2023-02-26 00:26:19.975996,2023-02-26 00:30:47.262213,0 days 00:04:27.286217,88.0,1500.0,121.0,58.0,651.0,1187.0,COMPLETE
92,2837.0054179785097,2023-02-25 06:35:00.903663,2023-02-25 06:39:45.905012,0 days 00:04:45.001349,102.0,1500.0,125.0,44.0,622.0,1270.0,COMPLETE
103,2837.0212686020627,2023-02-25 07:24:38.616368,2023-02-25 07:29:15.373321,0 days 00:04:36.756953,80.0,1499.0,122.0,51.0,594.0,1256.0,COMPLETE
216,2837.104190501245,2023-02-25 20:12:43.730902,2023-02-25 20:16:40.813642,0 days 00:03:57.082740,94.0,1500.0,122.0,46.0,512.0,1211.0,COMPLETE
53,2837.222121193426,2023-02-25 03:45:07.882442,2023-02-25 03:49:09.779803,0 days 00:04:01.897361,94.0,1499.0,123.0,60.0,492.0,1233.0,COMPLETE
55,2837.261562738146,2023-02-25 03:53:16.051472,2023-02-25 03:57:15.463549,0 days 00:03:59.412077,92.0,1500.0,122.0,60.0,510.0,1217.0,COMPLETE
273,2837.3085771094825,2023-02-26 00:21:50.509763,2023-02-26 00:26:19.975576,0 days 00:04:29.465813,88.0,1500.0,125.0,59.0,647.0,1191.0,COMPLETE
276,2837.336168918976,2023-02-26 00:34:34.214983,2023-02-26 00:39:03.693959,0 days 00:04:29.478976,85.0,1499.0,125.0,59.0,672.0,1195.0,COMPLETE
98,2837.574352600194,2023-02-25 07:03:27.540131,2023-02-25 07:07:46.803983,0 days 00:04:19.263852,79.0,1498.0,122.0,47.0,612.0,1170.0,COMPLETE
185,2837.680017655746,2023-02-25 18:03:36.938078,2023-02-25 18:08:08.964859,0 days 00:04:32.026781,96.0,1498.0,125.0,58.0,606.0,1234.0,COMPLETE
174,2837.756776510394,2023-02-25 17:18:39.232348,2023-02-25 17:22:52.868237,0 days 00:04:13.635889,93.0,1485.0,122.0,57.0,514.0,1271.0,COMPLETE
271,2837.884264517797,2023-02-26 00:12:46.201548,2023-02-26 00:17:20.296181,0 days 00:04:34.094633,90.0,1500.0,126.0,60.0,652.0,1217.0,COMPLETE
134,2837.88895496883,2023-02-25 09:34:52.978888,2023-02-25 09:38:35.410835,0 days 00:03:42.431947,94.0,1478.0,121.0,45.0,598.0,1010.0,COMPLETE
260,2837.973089206591,2023-02-25 23:23:56.667876,2023-02-25 23:28:27.917386,0 days 00:04:31.249510,97.0,1485.0,121.0,61.0,548.0,1269.0,COMPLETE
72,2838.001814723661,2023-02-25 04:54:50.589406,2023-02-25 04:58:52.169650,0 days 00:04:01.580244,94.0,1496.0,125.0,44.0,544.0,1129.0,COMPLETE
