iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
92,2762.6793216888777,2023-03-01 03:01:12.591082,2023-03-01 03:01:24.374336,0 days 00:00:11.783254,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
93,2762.6793216888777,2023-03-01 03:01:28.711366,2023-03-01 03:01:40.586783,0 days 00:00:11.875417,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
94,2762.6793216888777,2023-03-01 03:01:45.273276,2023-03-01 03:01:56.886563,0 days 00:00:11.613287,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
96,2762.6793216888777,2023-03-01 03:02:17.546632,2023-03-01 03:02:29.393595,0 days 00:00:11.846963,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
115,2762.6793216888777,2023-03-01 03:08:39.563321,2023-03-01 03:08:51.361720,0 days 00:00:11.798399,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
116,2762.6793216888777,2023-03-01 03:08:56.198905,2023-03-01 03:09:08.009781,0 days 00:00:11.810876,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
117,2762.6793216888777,2023-03-01 03:09:12.258432,2023-03-01 03:09:24.092880,0 days 00:00:11.834448,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
156,2762.6793216888777,2023-03-01 03:19:49.879860,2023-03-01 03:20:01.637376,0 days 00:00:11.757516,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
139,2762.6793216888777,2023-03-01 03:15:13.400151,2023-03-01 03:15:25.126207,0 days 00:00:11.726056,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
140,2762.6793216888777,2023-03-01 03:15:29.685215,2023-03-01 03:15:41.451811,0 days 00:00:11.766596,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
141,2762.6793216888777,2023-03-01 03:15:45.792465,2023-03-01 03:15:57.576184,0 days 00:00:11.783719,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
142,2762.6793216888777,2023-03-01 03:16:01.994021,2023-03-01 03:16:14.191837,0 days 00:00:12.197816,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
143,2762.6793216888777,2023-03-01 03:16:18.477779,2023-03-01 03:16:30.310060,0 days 00:00:11.832281,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
144,2762.6793216888777,2023-03-01 03:16:34.522088,2023-03-01 03:16:46.555705,0 days 00:00:12.033617,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
145,2762.6793216888777,2023-03-01 03:16:50.829580,2023-03-01 03:17:02.679865,0 days 00:00:11.850285,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
155,2762.6793216888777,2023-03-01 03:19:33.472011,2023-03-01 03:19:45.239280,0 days 00:00:11.767269,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
147,2762.6793216888777,2023-03-01 03:17:23.287439,2023-03-01 03:17:35.066021,0 days 00:00:11.778582,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
148,2762.6793216888777,2023-03-01 03:17:39.751967,2023-03-01 03:17:51.543039,0 days 00:00:11.791072,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
149,2762.6793216888777,2023-03-01 03:17:56.058918,2023-03-01 03:18:07.828707,0 days 00:00:11.769789,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
150,2762.6793216888777,2023-03-01 03:18:12.213737,2023-03-01 03:18:24.407936,0 days 00:00:12.194199,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
151,2762.6793216888777,2023-03-01 03:18:28.480698,2023-03-01 03:18:40.510139,0 days 00:00:12.029441,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
152,2762.6793216888777,2023-03-01 03:18:44.650479,2023-03-01 03:18:56.383153,0 days 00:00:11.732674,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
137,2762.6793216888777,2023-03-01 03:14:41.293892,2023-03-01 03:14:52.951047,0 days 00:00:11.657155,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
157,2762.6793216888777,2023-03-01 03:20:06.456295,2023-03-01 03:20:18.342072,0 days 00:00:11.885777,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
135,2762.6793216888777,2023-03-01 03:14:08.782101,2023-03-01 03:14:20.652892,0 days 00:00:11.870791,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
134,2762.6793216888777,2023-03-01 03:13:52.614931,2023-03-01 03:14:04.571847,0 days 00:00:11.956916,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
118,2762.6793216888777,2023-03-01 03:09:28.274887,2023-03-01 03:09:40.367610,0 days 00:00:12.092723,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
119,2762.6793216888777,2023-03-01 03:09:44.825477,2023-03-01 03:09:56.611157,0 days 00:00:11.785680,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
159,2762.6793216888777,2023-03-01 03:20:39.022927,2023-03-01 03:20:50.908869,0 days 00:00:11.885942,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
121,2762.6793216888777,2023-03-01 03:10:21.373479,2023-03-01 03:10:33.069072,0 days 00:00:11.695593,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
122,2762.6793216888777,2023-03-01 03:10:37.411047,2023-03-01 03:10:49.516692,0 days 00:00:12.105645,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
123,2762.6793216888777,2023-03-01 03:10:53.812908,2023-03-01 03:11:05.765769,0 days 00:00:11.952861,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
124,2762.6793216888777,2023-03-01 03:11:10.347718,2023-03-01 03:11:22.188191,0 days 00:00:11.840473,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
164,2762.6793216888777,2023-03-01 03:21:59.980544,2023-03-01 03:22:11.995240,0 days 00:00:12.014696,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
125,2762.6793216888777,2023-03-01 03:11:26.724071,2023-03-01 03:11:38.673494,0 days 00:00:11.949423,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
