iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,params_num_boost_round,reg_lambda,subsample,state
99,2779.5969726,2023-03-01 04:21:05.837371,2023-03-01 04:21:29.309840,0 days 00:00:23.472469,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
123,2779.5969726,2023-03-01 04:32:04.899252,2023-03-01 04:32:27.672937,0 days 00:00:22.773685,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
124,2779.5969726,2023-03-01 04:32:31.905454,2023-03-01 04:32:54.467968,0 days 00:00:22.562514,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
125,2779.5969726,2023-03-01 04:32:58.923757,2023-03-01 04:33:21.451939,0 days 00:00:22.528182,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
126,2779.5969726,2023-03-01 04:33:25.987929,2023-03-01 04:33:48.586988,0 days 00:00:22.599059,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
127,2779.5969726,2023-03-01 04:33:53.019465,2023-03-01 04:34:15.585770,0 days 00:00:22.566305,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
129,2779.5969726,2023-03-01 04:34:45.043149,2023-03-01 04:35:07.546111,0 days 00:00:22.502962,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
130,2779.5969726,2023-03-01 04:35:12.052207,2023-03-01 04:35:34.803444,0 days 00:00:22.751237,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
131,2779.5969726,2023-03-01 04:35:39.158989,2023-03-01 04:36:01.802830,0 days 00:00:22.643841,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
132,2779.5969726,2023-03-01 04:36:06.614654,2023-03-01 04:36:29.320407,0 days 00:00:22.705753,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
133,2779.5969726,2023-03-01 04:36:33.684772,2023-03-01 04:36:56.487214,0 days 00:00:22.802442,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
134,2779.5969726,2023-03-01 04:37:01.023539,2023-03-01 04:37:23.760351,0 days 00:00:22.736812,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
135,2779.5969726,2023-03-01 04:37:28.443408,2023-03-01 04:37:51.105738,0 days 00:00:22.662330,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
136,2779.5969726,2023-03-01 04:37:55.545657,2023-03-01 04:38:18.461188,0 days 00:00:22.915531,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
137,2779.5969726,2023-03-01 04:38:23.029503,2023-03-01 04:38:45.923775,0 days 00:00:22.894272,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
138,2779.5969726,2023-03-01 04:38:50.378930,2023-03-01 04:39:13.241955,0 days 00:00:22.863025,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
139,2779.5969726,2023-03-01 04:39:17.465853,2023-03-01 04:39:40.601258,0 days 00:00:23.135405,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
