iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
199,2798.5772704,2023-03-02 04:04:13.187285,2023-03-02 04:04:32.951922,0 days 00:00:19.764637,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
177,2798.5772704,2023-03-02 03:55:10.653231,2023-03-02 03:55:30.601609,0 days 00:00:19.948378,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
178,2798.5772704,2023-03-02 03:55:35.578400,2023-03-02 03:55:55.864629,0 days 00:00:20.286229,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
179,2798.5772704,2023-03-02 03:56:00.720457,2023-03-02 03:56:20.585950,0 days 00:00:19.865493,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
181,2798.5772704,2023-03-02 03:56:48.957300,2023-03-02 03:57:09.124214,0 days 00:00:20.166914,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
182,2798.5772704,2023-03-02 03:57:13.026787,2023-03-02 03:57:33.394032,0 days 00:00:20.367245,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
183,2798.5772704,2023-03-02 03:57:37.501681,2023-03-02 03:57:57.869848,0 days 00:00:20.368167,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
184,2798.5772704,2023-03-02 03:58:02.741454,2023-03-02 03:58:22.682546,0 days 00:00:19.941092,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
185,2798.5772704,2023-03-02 03:58:27.124522,2023-03-02 03:58:47.028787,0 days 00:00:19.904265,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
186,2798.5772704,2023-03-02 03:58:52.063631,2023-03-02 03:59:11.831094,0 days 00:00:19.767463,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
187,2798.5772704,2023-03-02 03:59:16.722075,2023-03-02 03:59:36.507427,0 days 00:00:19.785352,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
180,2798.5772704,2023-03-02 03:56:24.837609,2023-03-02 03:56:45.046094,0 days 00:00:20.208485,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
189,2798.5772704,2023-03-02 04:00:05.000491,2023-03-02 04:00:25.033801,0 days 00:00:20.033310,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
188,2798.5772704,2023-03-02 03:59:40.913017,2023-03-02 04:00:00.619597,0 days 00:00:19.706580,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
197,2798.5772704,2023-03-02 04:03:22.683624,2023-03-02 04:03:42.478865,0 days 00:00:19.795241,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
195,2798.5772704,2023-03-02 04:02:33.147203,2023-03-02 04:02:53.473788,0 days 00:00:20.326585,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
194,2798.5772704,2023-03-02 04:02:07.742335,2023-03-02 04:02:28.006085,0 days 00:00:20.263750,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
196,2798.5772704,2023-03-02 04:02:58.193515,2023-03-02 04:03:17.922893,0 days 00:00:19.729378,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
192,2798.5772704,2023-03-02 04:01:18.145658,2023-03-02 04:01:38.421658,0 days 00:00:20.276000,0.5,0.7,14,8,700,5.5,0.8,COMPLETE
