iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
112,2836.6699219999996,2023-03-02 01:57:38.382008,2023-03-02 01:57:52.292472,0 days 00:00:13.910464,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
113,2836.6699219999996,2023-03-02 01:57:56.505995,2023-03-02 01:58:10.353372,0 days 00:00:13.847377,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
114,2836.6699219999996,2023-03-02 01:58:14.572012,2023-03-02 01:58:28.422236,0 days 00:00:13.850224,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
115,2836.6699219999996,2023-03-02 01:58:32.690556,2023-03-02 01:58:46.750212,0 days 00:00:14.059656,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
117,2836.6699219999996,2023-03-02 01:59:08.800159,2023-03-02 01:59:22.709932,0 days 00:00:13.909773,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
118,2836.6699219999996,2023-03-02 01:59:26.966325,2023-03-02 01:59:41.445363,0 days 00:00:14.479038,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
119,2836.6699219999996,2023-03-02 01:59:46.394973,2023-03-02 02:00:00.071514,0 days 00:00:13.676541,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
120,2836.6699219999996,2023-03-02 02:00:04.546377,2023-03-02 02:00:18.276026,0 days 00:00:13.729649,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
121,2836.6699219999996,2023-03-02 02:00:22.628383,2023-03-02 02:00:36.392115,0 days 00:00:13.763732,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
122,2836.6699219999996,2023-03-02 02:00:40.654275,2023-03-02 02:00:54.778631,0 days 00:00:14.124356,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
149,2836.6699219999996,2023-03-02 02:08:55.082588,2023-03-02 02:09:08.934996,0 days 00:00:13.852408,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
150,2836.6699219999996,2023-03-02 02:09:13.480254,2023-03-02 02:09:27.710281,0 days 00:00:14.230027,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
148,2836.6699219999996,2023-03-02 02:08:36.755220,2023-03-02 02:08:50.586079,0 days 00:00:13.830859,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
152,2836.6699219999996,2023-03-02 02:09:50.139146,2023-03-02 02:10:03.960964,0 days 00:00:13.821818,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
151,2836.6699219999996,2023-03-02 02:09:32.019472,2023-03-02 02:09:45.732886,0 days 00:00:13.713414,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
177,2836.6699219999996,2023-03-02 02:17:23.580928,2023-03-02 02:17:37.469223,0 days 00:00:13.888295,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
179,2836.6699219999996,2023-03-02 02:17:59.897571,2023-03-02 02:18:13.728896,0 days 00:00:13.831325,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
180,2836.6699219999996,2023-03-02 02:18:18.015674,2023-03-02 02:18:31.827939,0 days 00:00:13.812265,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
181,2836.6699219999996,2023-03-02 02:18:36.046534,2023-03-02 02:18:49.984763,0 days 00:00:13.938229,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
182,2836.6699219999996,2023-03-02 02:18:54.253255,2023-03-02 02:19:07.962816,0 days 00:00:13.709561,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
183,2836.6699219999996,2023-03-02 02:19:12.337817,2023-03-02 02:19:26.279352,0 days 00:00:13.941535,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
185,2836.6699219999996,2023-03-02 02:19:53.000660,2023-03-02 02:20:06.788131,0 days 00:00:13.787471,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
186,2836.6699219999996,2023-03-02 02:20:11.151792,2023-03-02 02:20:24.908366,0 days 00:00:13.756574,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
187,2836.6699219999996,2023-03-02 02:20:29.370257,2023-03-02 02:20:43.255206,0 days 00:00:13.884949,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
188,2836.6699219999996,2023-03-02 02:20:47.617371,2023-03-02 02:21:01.621169,0 days 00:00:14.003798,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
189,2836.6699219999996,2023-03-02 02:21:06.178328,2023-03-02 02:21:20.040617,0 days 00:00:13.862289,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
191,2836.6699219999996,2023-03-02 02:21:42.465635,2023-03-02 02:21:56.311111,0 days 00:00:13.845476,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
192,2836.6699219999996,2023-03-02 02:22:00.565398,2023-03-02 02:22:14.541474,0 days 00:00:13.976076,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
193,2836.6699219999996,2023-03-02 02:22:18.745957,2023-03-02 02:22:32.575124,0 days 00:00:13.829167,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
194,2836.6699219999996,2023-03-02 02:22:36.901069,2023-03-02 02:22:50.800604,0 days 00:00:13.899535,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
195,2836.6699219999996,2023-03-02 02:22:55.047903,2023-03-02 02:23:09.103964,0 days 00:00:14.056061,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
196,2836.6699219999996,2023-03-02 02:23:13.341029,2023-03-02 02:23:27.338383,0 days 00:00:13.997354,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
197,2836.6699219999996,2023-03-02 02:23:31.422372,2023-03-02 02:23:45.244047,0 days 00:00:13.821675,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
175,2836.6699219999996,2023-03-02 02:16:47.352410,2023-03-02 02:17:01.290308,0 days 00:00:13.937898,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
174,2836.6699219999996,2023-03-02 02:16:29.245273,2023-03-02 02:16:43.188865,0 days 00:00:13.943592,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
176,2836.6699219999996,2023-03-02 02:17:05.479866,2023-03-02 02:17:19.321903,0 days 00:00:13.842037,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
172,2836.6699219999996,2023-03-02 02:15:52.578645,2023-03-02 02:16:06.983385,0 days 00:00:14.404740,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
153,2836.6699219999996,2023-03-02 02:10:08.133430,2023-03-02 02:10:22.016384,0 days 00:00:13.882954,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
154,2836.6699219999996,2023-03-02 02:10:26.334269,2023-03-02 02:10:40.123101,0 days 00:00:13.788832,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
155,2836.6699219999996,2023-03-02 02:10:44.374643,2023-03-02 02:10:58.156311,0 days 00:00:13.781668,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
156,2836.6699219999996,2023-03-02 02:11:02.512388,2023-03-02 02:11:16.221053,0 days 00:00:13.708665,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
157,2836.6699219999996,2023-03-02 02:11:20.518415,2023-03-02 02:11:34.233723,0 days 00:00:13.715308,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
158,2836.6699219999996,2023-03-02 02:11:38.577485,2023-03-02 02:11:52.345720,0 days 00:00:13.768235,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
173,2836.6699219999996,2023-03-02 02:16:11.228807,2023-03-02 02:16:24.974026,0 days 00:00:13.745219,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
160,2836.6699219999996,2023-03-02 02:12:15.078809,2023-03-02 02:12:28.866731,0 days 00:00:13.787922,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
161,2836.6699219999996,2023-03-02 02:12:33.082026,2023-03-02 02:12:46.912297,0 days 00:00:13.830271,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
159,2836.6699219999996,2023-03-02 02:11:56.976390,2023-03-02 02:12:10.776709,0 days 00:00:13.800319,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
163,2836.6699219999996,2023-03-02 02:13:09.326926,2023-03-02 02:13:23.150845,0 days 00:00:13.823919,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
164,2836.6699219999996,2023-03-02 02:13:27.445476,2023-03-02 02:13:41.315831,0 days 00:00:13.870355,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
165,2836.6699219999996,2023-03-02 02:13:45.509874,2023-03-02 02:13:59.355934,0 days 00:00:13.846060,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
166,2836.6699219999996,2023-03-02 02:14:03.641337,2023-03-02 02:14:17.501212,0 days 00:00:13.859875,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
167,2836.6699219999996,2023-03-02 02:14:21.772255,2023-03-02 02:14:35.696928,0 days 00:00:13.924673,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
168,2836.6699219999996,2023-03-02 02:14:39.854576,2023-03-02 02:14:53.667106,0 days 00:00:13.812530,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
169,2836.6699219999996,2023-03-02 02:14:58.092241,2023-03-02 02:15:12.009795,0 days 00:00:13.917554,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
170,2836.6699219999996,2023-03-02 02:15:16.285119,2023-03-02 02:15:30.061517,0 days 00:00:13.776398,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
162,2836.6699219999996,2023-03-02 02:12:51.260468,2023-03-02 02:13:05.069087,0 days 00:00:13.808619,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
171,2836.6699219999996,2023-03-02 02:15:34.439253,2023-03-02 02:15:48.476551,0 days 00:00:14.037298,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
98,2837.6141766666665,2023-03-02 01:53:23.392309,2023-03-02 01:53:37.355917,0 days 00:00:13.963608,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
100,2837.6141766666665,2023-03-02 01:53:59.805078,2023-03-02 01:54:13.849170,0 days 00:00:14.044092,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
97,2837.6141766666665,2023-03-02 01:53:05.255501,2023-03-02 01:53:19.055011,0 days 00:00:13.799510,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
102,2837.6141766666665,2023-03-02 01:54:36.293903,2023-03-02 01:54:50.391796,0 days 00:00:14.097893,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
103,2837.6141766666665,2023-03-02 01:54:54.587106,2023-03-02 01:55:08.485694,0 days 00:00:13.898588,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
101,2837.6141766666665,2023-03-02 01:54:18.040660,2023-03-02 01:54:32.111857,0 days 00:00:14.071197,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
96,2837.6141766666665,2023-03-02 01:52:47.125700,2023-03-02 01:53:01.123636,0 days 00:00:13.997936,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
99,2837.6141766666665,2023-03-02 01:53:41.534261,2023-03-02 01:53:55.392487,0 days 00:00:13.858226,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
94,2837.6141766666665,2023-03-02 01:52:10.891059,2023-03-02 01:52:24.751188,0 days 00:00:13.860129,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
95,2837.6141766666665,2023-03-02 01:52:29.061530,2023-03-02 01:52:42.955245,0 days 00:00:13.893715,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
69,2837.6141766666665,2023-03-02 01:44:04.531642,2023-03-02 01:44:18.486667,0 days 00:00:13.955025,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
71,2837.6141766666665,2023-03-02 01:44:40.957069,2023-03-02 01:44:54.757900,0 days 00:00:13.800831,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
72,2837.6141766666665,2023-03-02 01:44:59.124489,2023-03-02 01:45:13.149966,0 days 00:00:14.025477,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
73,2837.6141766666665,2023-03-02 01:45:17.215163,2023-03-02 01:45:31.116716,0 days 00:00:13.901553,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
75,2837.6141766666665,2023-03-02 01:45:53.617090,2023-03-02 01:46:07.544835,0 days 00:00:13.927745,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
76,2837.6141766666665,2023-03-02 01:46:11.835646,2023-03-02 01:46:25.887743,0 days 00:00:14.052097,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
77,2837.6141766666665,2023-03-02 01:46:30.207917,2023-03-02 01:46:44.143651,0 days 00:00:13.935734,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
78,2837.6141766666665,2023-03-02 01:46:53.320934,2023-03-02 01:47:07.506298,0 days 00:00:14.185364,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
79,2837.6141766666665,2023-03-02 01:47:11.527590,2023-03-02 01:47:25.372856,0 days 00:00:13.845266,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
80,2837.6141766666665,2023-03-02 01:47:29.572957,2023-03-02 01:47:43.473673,0 days 00:00:13.900716,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
81,2837.6141766666665,2023-03-02 01:47:52.697293,2023-03-02 01:48:06.631534,0 days 00:00:13.934241,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
74,2837.6141766666665,2023-03-02 01:45:35.378900,2023-03-02 01:45:49.344671,0 days 00:00:13.965771,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
83,2837.6141766666665,2023-03-02 01:48:31.154664,2023-03-02 01:49:00.062381,0 days 00:00:28.907717,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
82,2837.6141766666665,2023-03-02 01:48:12.129989,2023-03-02 01:48:27.287380,0 days 00:00:15.157391,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
92,2837.6141766666665,2023-03-02 01:51:34.549729,2023-03-02 01:51:48.602249,0 days 00:00:14.052520,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
91,2837.6141766666665,2023-03-02 01:51:11.460076,2023-03-02 01:51:25.369104,0 days 00:00:13.909028,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
93,2837.6141766666665,2023-03-02 01:51:52.791646,2023-03-02 01:52:06.695462,0 days 00:00:13.903816,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
89,2837.6141766666665,2023-03-02 01:50:35.065098,2023-03-02 01:50:49.068885,0 days 00:00:14.003787,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
87,2837.6141766666665,2023-03-02 01:49:58.665388,2023-03-02 01:50:12.745233,0 days 00:00:14.079845,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
86,2837.6141766666665,2023-03-02 01:49:40.584764,2023-03-02 01:49:54.378036,0 days 00:00:13.793272,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
85,2837.6141766666665,2023-03-02 01:49:22.556076,2023-03-02 01:49:36.499901,0 days 00:00:13.943825,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
84,2837.6141766666665,2023-03-02 01:49:04.413414,2023-03-02 01:49:18.295044,0 days 00:00:13.881630,0.5,0.7,15,7,800,5.5,0.8,COMPLETE
48,2840.0760093333333,2023-03-02 01:37:38.551211,2023-03-02 01:37:52.363880,0 days 00:00:13.812669,0.5,0.7,14,7,700,5.5,0.8,COMPLETE
41,2840.0760093333333,2023-03-02 01:35:11.645336,2023-03-02 01:35:40.503305,0 days 00:00:28.857969,0.5,0.7,14,7,700,5.5,0.8,COMPLETE
46,2840.0760093333333,2023-03-02 01:37:02.491138,2023-03-02 01:37:16.110633,0 days 00:00:13.619495,0.5,0.7,14,7,700,5.5,0.8,COMPLETE
45,2840.0760093333333,2023-03-02 01:36:44.392336,2023-03-02 01:36:57.990648,0 days 00:00:13.598312,0.5,0.7,14,7,600,5.5,0.8,COMPLETE
43,2840.0760093333333,2023-03-02 01:36:02.990434,2023-03-02 01:36:16.608337,0 days 00:00:13.617903,0.5,0.7,14,7,700,5.5,0.8,COMPLETE
