iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,params_num_boost_round,reg_lambda,subsample,state
99,2830.049642,2023-03-02 00:42:33.333198,2023-03-02 00:42:47.560224,0 days 00:00:14.227026,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
123,2830.049642,2023-03-02 00:50:00.607334,2023-03-02 00:50:14.924396,0 days 00:00:14.317062,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
125,2830.049642,2023-03-02 00:50:37.049158,2023-03-02 00:50:51.364466,0 days 00:00:14.315308,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
126,2830.049642,2023-03-02 00:51:00.316314,2023-03-02 00:51:14.476553,0 days 00:00:14.160239,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
127,2830.049642,2023-03-02 00:51:19.077201,2023-03-02 00:51:33.277087,0 days 00:00:14.199886,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
128,2830.049642,2023-03-02 00:51:37.171549,2023-03-02 00:51:51.324560,0 days 00:00:14.153011,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
129,2830.049642,2023-03-02 00:51:55.253374,2023-03-02 00:52:09.474057,0 days 00:00:14.220683,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
130,2830.049642,2023-03-02 00:52:13.365686,2023-03-02 00:52:29.144656,0 days 00:00:15.778970,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
131,2830.049642,2023-03-02 00:52:33.649068,2023-03-02 00:52:47.766062,0 days 00:00:14.116994,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
132,2830.049642,2023-03-02 00:52:51.901755,2023-03-02 00:53:06.065950,0 days 00:00:14.164195,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
133,2830.049642,2023-03-02 00:53:09.941696,2023-03-02 00:53:24.185798,0 days 00:00:14.244102,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
134,2830.049642,2023-03-02 00:53:29.012800,2023-03-02 00:53:43.370703,0 days 00:00:14.357903,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
135,2830.049642,2023-03-02 00:53:48.368653,2023-03-02 00:54:02.582747,0 days 00:00:14.214094,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
136,2830.049642,2023-03-02 00:54:07.651637,2023-03-02 00:54:21.898322,0 days 00:00:14.246685,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
137,2830.049642,2023-03-02 00:54:26.761047,2023-03-02 00:54:40.947714,0 days 00:00:14.186667,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
138,2830.049642,2023-03-02 00:54:44.964473,2023-03-02 00:54:59.250870,0 days 00:00:14.286397,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
140,2830.049642,2023-03-02 00:55:22.190837,2023-03-02 00:55:36.519213,0 days 00:00:14.328376,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
141,2830.049642,2023-03-02 00:55:41.277461,2023-03-02 00:55:55.448280,0 days 00:00:14.170819,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
142,2830.049642,2023-03-02 00:55:59.531889,2023-03-02 00:56:13.655117,0 days 00:00:14.123228,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
144,2830.049642,2023-03-02 00:56:35.765333,2023-03-02 00:56:50.055513,0 days 00:00:14.290180,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
122,2830.049642,2023-03-02 00:49:42.545362,2023-03-02 00:49:56.691221,0 days 00:00:14.145859,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
121,2830.049642,2023-03-02 00:49:23.420276,2023-03-02 00:49:37.838607,0 days 00:00:14.418331,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
120,2830.049642,2023-03-02 00:49:04.294639,2023-03-02 00:49:18.651901,0 days 00:00:14.357262,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
118,2830.049642,2023-03-02 00:48:27.729494,2023-03-02 00:48:41.860306,0 days 00:00:14.130812,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
96,2830.049642,2023-03-02 00:41:38.411508,2023-03-02 00:41:52.556472,0 days 00:00:14.144964,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
97,2830.049642,2023-03-02 00:41:56.796440,2023-03-02 00:42:11.005089,0 days 00:00:14.208649,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
98,2830.049642,2023-03-02 00:42:14.884598,2023-03-02 00:42:29.178086,0 days 00:00:14.293488,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
198,2830.049642,2023-03-02 01:13:47.461422,2023-03-02 01:14:01.867570,0 days 00:00:14.406148,0.6,0.7,15,8,800,6.5,0.8,COMPLETE
