iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
165,2418.022257153453,2023-01-30 20:12:39.060713,2023-01-30 20:13:01.486078,0 days 00:00:22.425365,10,0.8,10,500,15,COMPLETE
230,2418.022257153453,2023-01-30 20:42:02.944165,2023-01-30 20:42:23.855926,0 days 00:00:20.911761,10,0.8,10,500,15,COMPLETE
461,2418.022257153453,2023-01-30 22:29:29.510457,2023-01-30 22:29:49.775507,0 days 00:00:20.265050,10,0.8,10,500,15,COMPLETE
459,2418.022257153453,2023-01-30 22:28:37.524707,2023-01-30 22:28:57.925844,0 days 00:00:20.401137,10,0.8,10,500,15,COMPLETE
381,2418.022257153453,2023-01-30 21:51:05.685196,2023-01-30 21:51:28.068215,0 days 00:00:22.383019,10,0.8,10,500,15,COMPLETE
477,2418.022257153453,2023-01-30 22:36:34.904243,2023-01-30 22:36:54.598153,0 days 00:00:19.693910,10,0.8,10,500,15,COMPLETE
120,2418.022257153453,2023-01-30 19:52:20.184271,2023-01-30 19:52:41.813005,0 days 00:00:21.628734,10,0.8,20,500,15,COMPLETE
347,2418.022257153453,2023-01-30 21:35:10.512235,2023-01-30 21:35:32.285569,0 days 00:00:21.773334,10,0.8,10,500,15,COMPLETE
256,2418.022257153453,2023-01-30 20:54:06.741205,2023-01-30 20:54:27.772881,0 days 00:00:21.031676,10,0.8,10,500,15,COMPLETE
493,2418.022257153453,2023-01-30 22:43:50.304904,2023-01-30 22:44:11.593265,0 days 00:00:21.288361,10,0.8,10,500,15,COMPLETE
65,2418.0222669329764,2023-01-30 19:26:42.933848,2023-01-30 19:27:03.569305,0 days 00:00:20.635457,10,0.8,20,500,15,COMPLETE
171,2418.0222669329764,2023-01-30 20:15:14.727239,2023-01-30 20:15:35.339860,0 days 00:00:20.612621,10,0.8,20,500,15,COMPLETE
189,2418.0222669329764,2023-01-30 20:23:15.257310,2023-01-30 20:23:35.912552,0 days 00:00:20.655242,10,0.8,20,500,15,COMPLETE
179,2418.0222669329764,2023-01-30 20:18:52.710024,2023-01-30 20:19:13.502649,0 days 00:00:20.792625,10,0.8,10,500,15,COMPLETE
