iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
330,2419.96540335954,2023-01-30 14:21:42.730654,2023-01-30 14:22:03.284604,0 days 00:00:20.553950,10,0.8,20,500,5,COMPLETE
329,2419.96540335954,2023-01-30 14:21:17.147516,2023-01-30 14:21:38.225900,0 days 00:00:21.078384,10,0.8,20,500,5,COMPLETE
340,2419.96540335954,2023-01-30 14:26:47.804508,2023-01-30 14:27:08.646544,0 days 00:00:20.842036,10,0.8,20,500,5,COMPLETE
343,2419.96540335954,2023-01-30 14:28:07.178499,2023-01-30 14:28:33.390390,0 days 00:00:26.211891,10,0.8,20,500,5,COMPLETE
349,2419.96540335954,2023-01-30 14:31:11.439212,2023-01-30 14:31:31.985845,0 days 00:00:20.546633,10,0.8,20,500,5,COMPLETE
345,2419.96540335954,2023-01-30 14:29:09.385822,2023-01-30 14:29:31.304237,0 days 00:00:21.918415,10,0.8,20,500,5,COMPLETE
371,2419.96540335954,2023-01-30 14:41:59.523023,2023-01-30 14:42:20.157998,0 days 00:00:20.634975,10,0.8,20,500,5,COMPLETE
370,2419.96540335954,2023-01-30 14:41:28.166197,2023-01-30 14:41:49.187934,0 days 00:00:21.021737,10,0.8,20,500,5,COMPLETE
369,2419.96540335954,2023-01-30 14:40:59.213657,2023-01-30 14:41:22.053178,0 days 00:00:22.839521,10,0.8,20,500,5,COMPLETE
367,2419.96540335954,2023-01-30 14:39:59.960984,2023-01-30 14:40:22.446066,0 days 00:00:22.485082,10,0.8,20,500,5,COMPLETE
366,2419.96540335954,2023-01-30 14:39:32.847312,2023-01-30 14:39:54.994922,0 days 00:00:22.147610,10,0.8,20,500,5,COMPLETE
365,2419.96540335954,2023-01-30 14:38:58.762980,2023-01-30 14:39:22.698240,0 days 00:00:23.935260,10,0.8,20,500,5,COMPLETE
364,2419.96540335954,2023-01-30 14:38:19.164488,2023-01-30 14:38:49.066024,0 days 00:00:29.901536,10,0.8,20,500,5,COMPLETE
363,2419.96540335954,2023-01-30 14:37:52.704396,2023-01-30 14:38:14.191072,0 days 00:00:21.486676,10,0.8,20,500,5,COMPLETE
361,2419.96540335954,2023-01-30 14:36:40.612578,2023-01-30 14:37:11.693472,0 days 00:00:31.080894,10,0.8,20,500,5,COMPLETE
344,2419.96540335954,2023-01-30 14:28:40.357506,2023-01-30 14:29:04.034616,0 days 00:00:23.677110,10,0.8,20,500,5,COMPLETE
