iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
340,2418.0214782341136,2023-01-31 04:05:42.708012,2023-01-31 04:06:09.043191,0 days 00:00:26.335179,10,0.8,10,500,5,COMPLETE
423,2418.0214782341136,2023-01-31 04:45:42.891748,2023-01-31 04:46:04.412344,0 days 00:00:21.520596,10,0.8,10,500,15,COMPLETE
223,2418.0214782341136,2023-01-31 03:09:15.869230,2023-01-31 03:09:36.417234,0 days 00:00:20.548004,10,0.8,10,500,5,COMPLETE
487,2418.0214782341136,2023-01-31 05:16:06.875108,2023-01-31 05:16:27.168361,0 days 00:00:20.293253,10,0.8,10,500,5,COMPLETE
116,2418.0214782341136,2023-01-31 02:15:34.750218,2023-01-31 02:15:55.696009,0 days 00:00:20.945791,10,0.8,10,500,20,COMPLETE
71,2418.0214782341136,2023-01-31 01:53:39.650360,2023-01-31 01:54:10.383870,0 days 00:00:30.733510,10,0.8,10,500,20,COMPLETE
287,2418.0214782341136,2023-01-31 03:40:08.830388,2023-01-31 03:40:36.777471,0 days 00:00:27.947083,10,0.8,10,500,5,COMPLETE
313,2418.0214782341136,2023-01-31 03:52:54.834731,2023-01-31 03:53:22.212818,0 days 00:00:27.378087,10,0.8,10,500,5,COMPLETE
237,2418.0214782341136,2023-01-31 03:15:52.590673,2023-01-31 03:16:14.581850,0 days 00:00:21.991177,10,0.8,10,500,5,COMPLETE
90,2418.0214782341136,2023-01-31 02:02:35.797560,2023-01-31 02:02:57.453104,0 days 00:00:21.655544,10,0.8,10,500,5,COMPLETE
192,2418.0214782341136,2023-01-31 02:53:18.343907,2023-01-31 02:53:46.600437,0 days 00:00:28.256530,10,0.8,10,500,5,COMPLETE
204,2418.0214782341136,2023-01-31 02:59:35.439563,2023-01-31 03:00:03.901468,0 days 00:00:28.461905,10,0.8,10,500,5,COMPLETE
32,2418.022257153453,2023-01-31 01:35:14.005727,2023-01-31 01:35:35.488158,0 days 00:00:21.482431,10,0.8,10,500,5,COMPLETE
430,2418.022257153453,2023-01-31 04:49:09.925843,2023-01-31 04:49:35.517195,0 days 00:00:25.591352,10,0.8,10,500,15,COMPLETE
33,2418.022257153453,2023-01-31 01:35:40.310791,2023-01-31 01:36:01.580419,0 days 00:00:21.269628,10,0.8,10,500,5,COMPLETE
228,2418.022257153453,2023-01-31 03:11:32.091224,2023-01-31 03:11:53.500000,0 days 00:00:21.408776,10,0.8,10,500,5,COMPLETE
381,2418.022257153453,2023-01-31 04:25:52.499331,2023-01-31 04:26:30.394402,0 days 00:00:37.895071,10,0.8,10,500,5,COMPLETE
428,2418.022257153453,2023-01-31 04:48:06.799730,2023-01-31 04:48:30.002930,0 days 00:00:23.203200,10,0.8,10,500,20,COMPLETE
73,2418.022257153453,2023-01-31 01:54:43.699087,2023-01-31 01:55:04.101776,0 days 00:00:20.402689,10,0.8,10,500,20,COMPLETE
61,2418.022257153453,2023-01-31 01:48:46.240281,2023-01-31 01:49:15.991243,0 days 00:00:29.750962,10,0.8,10,500,5,COMPLETE
318,2418.022257153453,2023-01-31 03:55:15.248775,2023-01-31 03:55:37.200132,0 days 00:00:21.951357,10,0.8,10,500,5,COMPLETE
440,2418.022257153453,2023-01-31 04:53:49.140557,2023-01-31 04:54:11.569495,0 days 00:00:22.428938,10,0.8,10,500,20,COMPLETE
450,2418.022257153453,2023-01-31 04:58:20.541756,2023-01-31 04:58:42.209701,0 days 00:00:21.667945,10,0.8,10,500,5,COMPLETE
446,2418.022257153453,2023-01-31 04:56:26.092303,2023-01-31 04:56:47.391739,0 days 00:00:21.299436,10,0.8,10,500,5,COMPLETE
205,2418.022257153453,2023-01-31 03:00:08.995851,2023-01-31 03:00:29.654318,0 days 00:00:20.658467,10,0.8,10,500,5,COMPLETE
326,2418.022257153453,2023-01-31 03:58:48.982759,2023-01-31 03:59:10.762098,0 days 00:00:21.779339,10,0.8,10,500,5,COMPLETE
345,2418.022257153453,2023-01-31 04:08:17.486303,2023-01-31 04:08:38.619573,0 days 00:00:21.133270,10,0.8,10,500,5,COMPLETE
346,2418.022257153453,2023-01-31 04:08:42.783058,2023-01-31 04:09:04.494562,0 days 00:00:21.711504,10,0.8,10,500,5,COMPLETE
146,2418.022257153453,2023-01-31 02:30:36.600271,2023-01-31 02:30:57.585226,0 days 00:00:20.984955,10,0.8,10,500,5,COMPLETE
356,2418.022257153453,2023-01-31 04:13:31.845923,2023-01-31 04:13:53.024956,0 days 00:00:21.179033,10,0.8,10,500,5,COMPLETE
82,2418.022257153453,2023-01-31 01:58:48.952700,2023-01-31 01:59:11.949875,0 days 00:00:22.997175,10,0.8,10,500,5,COMPLETE
308,2418.022257153453,2023-01-31 03:50:29.741842,2023-01-31 03:50:51.079635,0 days 00:00:21.337793,10,0.8,10,500,5,COMPLETE
485,2418.022257153453,2023-01-31 05:15:11.559505,2023-01-31 05:15:32.411479,0 days 00:00:20.851974,10,0.8,10,500,5,COMPLETE
293,2418.022257153453,2023-01-31 03:43:05.984531,2023-01-31 03:43:30.573078,0 days 00:00:24.588547,10,0.8,10,500,5,COMPLETE
132,2418.022257153453,2023-01-31 02:23:34.798257,2023-01-31 02:23:58.823765,0 days 00:00:24.025508,10,0.8,10,500,5,COMPLETE
401,2418.022257153453,2023-01-31 04:35:38.446479,2023-01-31 04:35:59.879235,0 days 00:00:21.432756,10,0.8,10,500,5,COMPLETE
53,2418.022257153453,2023-01-31 01:44:56.086851,2023-01-31 01:45:35.045131,0 days 00:00:38.958280,10,0.8,10,500,5,COMPLETE
474,2418.022257153453,2023-01-31 05:09:43.824947,2023-01-31 05:10:08.180477,0 days 00:00:24.355530,10,0.8,10,500,5,COMPLETE
155,2418.022257153453,2023-01-31 02:34:57.707229,2023-01-31 02:35:18.790982,0 days 00:00:21.083753,10,0.8,10,500,5,COMPLETE
426,2418.022257153453,2023-01-31 04:47:11.867830,2023-01-31 04:47:36.667005,0 days 00:00:24.799175,10,0.8,10,500,15,COMPLETE
348,2418.022257153453,2023-01-31 04:09:35.395646,2023-01-31 04:09:57.411101,0 days 00:00:22.015455,10,0.8,10,500,5,COMPLETE
157,2418.022257153453,2023-01-31 02:35:50.831356,2023-01-31 02:36:12.780550,0 days 00:00:21.949194,10,0.8,10,500,5,COMPLETE
21,2418.022257153453,2023-01-31 01:29:58.920789,2023-01-31 01:30:21.149279,0 days 00:00:22.228490,10,0.8,10,500,10,COMPLETE
370,2418.022257153453,2023-01-31 04:20:18.826766,2023-01-31 04:20:39.767057,0 days 00:00:20.940291,10,0.8,10,500,5,COMPLETE
333,2418.0222669329764,2023-01-31 04:02:18.490339,2023-01-31 04:02:40.164167,0 days 00:00:21.673828,10,0.8,10,500,5,COMPLETE
443,2418.0222669329764,2023-01-31 04:55:06.890778,2023-01-31 04:55:28.520530,0 days 00:00:21.629752,10,0.8,10,500,5,COMPLETE
193,2418.0222669329764,2023-01-31 02:53:50.692349,2023-01-31 02:54:13.454624,0 days 00:00:22.762275,10,0.8,10,500,5,COMPLETE
301,2418.0222669329764,2023-01-31 03:47:11.071935,2023-01-31 03:47:35.378749,0 days 00:00:24.306814,10,0.8,10,500,20,COMPLETE
99,2418.0222669329764,2023-01-31 02:06:43.226150,2023-01-31 02:07:05.924530,0 days 00:00:22.698380,10,0.8,10,500,20,COMPLETE
109,2418.0222669329764,2023-01-31 02:11:54.089513,2023-01-31 02:12:17.298008,0 days 00:00:23.208495,10,0.8,10,500,10,COMPLETE
298,2418.0222669329764,2023-01-31 03:45:32.458374,2023-01-31 03:45:55.467385,0 days 00:00:23.009011,10,0.8,10,500,5,COMPLETE
103,2418.0222669329764,2023-01-31 02:08:52.659022,2023-01-31 02:09:18.575619,0 days 00:00:25.916597,10,0.8,10,500,5,COMPLETE
417,2418.0222669329764,2023-01-31 04:42:58.410207,2023-01-31 04:43:27.100667,0 days 00:00:28.690460,10,0.8,10,500,5,COMPLETE
143,2418.0222669329764,2023-01-31 02:28:42.141622,2023-01-31 02:29:25.678295,0 days 00:00:43.536673,10,0.8,10,500,5,COMPLETE
317,2418.0222669329764,2023-01-31 03:54:47.847916,2023-01-31 03:55:10.284442,0 days 00:00:22.436526,10,0.8,10,500,5,COMPLETE
48,2418.0222669329764,2023-01-31 01:42:37.013865,2023-01-31 01:42:58.810264,0 days 00:00:21.796399,10,0.8,10,500,5,COMPLETE
496,2418.0222669329764,2023-01-31 05:20:05.320816,2023-01-31 05:20:27.944642,0 days 00:00:22.623826,10,0.8,10,500,15,COMPLETE
216,2418.0222669329764,2023-01-31 03:05:41.016164,2023-01-31 03:06:03.092622,0 days 00:00:22.076458,10,0.8,10,500,5,COMPLETE
220,2418.0222669329764,2023-01-31 03:07:35.734771,2023-01-31 03:07:57.156853,0 days 00:00:21.422082,10,0.8,10,500,5,COMPLETE
224,2418.0222669329764,2023-01-31 03:09:41.204321,2023-01-31 03:10:01.748046,0 days 00:00:20.543725,10,0.8,10,500,5,COMPLETE
162,2418.0222669329764,2023-01-31 02:38:29.057789,2023-01-31 02:38:57.627682,0 days 00:00:28.569893,10,0.8,10,500,5,COMPLETE
366,2418.0222669329764,2023-01-31 04:18:22.443699,2023-01-31 04:18:43.186844,0 days 00:00:20.743145,10,0.8,10,500,5,COMPLETE
225,2418.0222669329764,2023-01-31 03:10:06.441899,2023-01-31 03:10:27.466099,0 days 00:00:21.024200,10,0.8,10,500,5,COMPLETE
16,2418.0222669329764,2023-01-31 01:27:34.594908,2023-01-31 01:27:55.868831,0 days 00:00:21.273923,10,0.8,10,500,20,COMPLETE
498,2418.0222669329764,2023-01-31 05:21:00.483198,2023-01-31 05:21:21.306518,0 days 00:00:20.823320,10,0.8,10,500,5,COMPLETE
227,2418.0222669329764,2023-01-31 03:10:57.838492,2023-01-31 03:11:27.844699,0 days 00:00:30.006207,10,0.8,10,500,5,COMPLETE
37,2418.699451228844,2023-01-31 01:37:28.252828,2023-01-31 01:37:50.938224,0 days 00:00:22.685396,10,0.75,20,500,15,COMPLETE
351,2419.96540335954,2023-01-31 04:10:59.972184,2023-01-31 04:11:25.884799,0 days 00:00:25.912615,10,0.8,10,500,15,COMPLETE
323,2419.96540335954,2023-01-31 03:57:29.685018,2023-01-31 03:57:51.831619,0 days 00:00:22.146601,10,0.8,10,500,5,COMPLETE
352,2419.96540335954,2023-01-31 04:11:36.995349,2023-01-31 04:11:59.277743,0 days 00:00:22.282394,10,0.8,10,500,5,COMPLETE
335,2419.96540335954,2023-01-31 04:03:15.525131,2023-01-31 04:03:37.265953,0 days 00:00:21.740822,10,0.8,10,500,15,COMPLETE
354,2419.96540335954,2023-01-31 04:12:36.766166,2023-01-31 04:12:58.778490,0 days 00:00:22.012324,10,0.8,10,500,5,COMPLETE
322,2419.96540335954,2023-01-31 03:57:04.333441,2023-01-31 03:57:25.270224,0 days 00:00:20.936783,10,0.8,10,500,5,COMPLETE
321,2419.96540335954,2023-01-31 03:56:36.943082,2023-01-31 03:57:00.086547,0 days 00:00:23.143465,10,0.8,10,500,5,COMPLETE
355,2419.96540335954,2023-01-31 04:13:06.659719,2023-01-31 04:13:27.383085,0 days 00:00:20.723366,10,0.8,10,500,5,COMPLETE
319,2419.96540335954,2023-01-31 03:55:44.503248,2023-01-31 03:56:06.461769,0 days 00:00:21.958521,10,0.8,20,500,5,COMPLETE
353,2419.96540335954,2023-01-31 04:12:03.309172,2023-01-31 04:12:32.419626,0 days 00:00:29.110454,10,0.8,10,500,5,COMPLETE
350,2419.96540335954,2023-01-31 04:10:31.465277,2023-01-31 04:10:53.749389,0 days 00:00:22.284112,10,0.8,10,500,5,COMPLETE
344,2419.96540335954,2023-01-31 04:07:45.198539,2023-01-31 04:08:12.869819,0 days 00:00:27.671280,10,0.8,10,500,5,COMPLETE
325,2419.96540335954,2023-01-31 03:58:22.589387,2023-01-31 03:58:44.332063,0 days 00:00:21.742676,10,0.8,10,500,5,COMPLETE
347,2419.96540335954,2023-01-31 04:09:09.182605,2023-01-31 04:09:30.983740,0 days 00:00:21.801135,10,0.8,10,500,5,COMPLETE
334,2419.96540335954,2023-01-31 04:02:44.891035,2023-01-31 04:03:08.543398,0 days 00:00:23.652363,10,0.8,10,500,5,COMPLETE
343,2419.96540335954,2023-01-31 04:07:19.873884,2023-01-31 04:07:40.710385,0 days 00:00:20.836501,10,0.8,10,500,5,COMPLETE
342,2419.96540335954,2023-01-31 04:06:40.533604,2023-01-31 04:07:14.925923,0 days 00:00:34.392319,10,0.8,10,500,5,COMPLETE
327,2419.96540335954,2023-01-31 03:59:15.344359,2023-01-31 03:59:45.520604,0 days 00:00:30.176245,10,0.8,10,500,5,COMPLETE
328,2419.96540335954,2023-01-31 03:59:51.531247,2023-01-31 04:00:13.379214,0 days 00:00:21.847967,10,0.8,10,500,5,COMPLETE
341,2419.96540335954,2023-01-31 04:06:13.281743,2023-01-31 04:06:36.246615,0 days 00:00:22.964872,10,0.8,10,500,5,COMPLETE
329,2419.96540335954,2023-01-31 04:00:17.919468,2023-01-31 04:00:41.151494,0 days 00:00:23.232026,10,0.8,10,500,5,COMPLETE
330,2419.96540335954,2023-01-31 04:00:47.198527,2023-01-31 04:01:09.519182,0 days 00:00:22.320655,10,0.8,10,500,5,COMPLETE
339,2419.96540335954,2023-01-31 04:05:15.460242,2023-01-31 04:05:37.479432,0 days 00:00:22.019190,10,0.8,10,500,5,COMPLETE
331,2419.96540335954,2023-01-31 04:01:13.742499,2023-01-31 04:01:36.587047,0 days 00:00:22.844548,10,0.8,10,500,5,COMPLETE
337,2419.96540335954,2023-01-31 04:04:10.701413,2023-01-31 04:04:43.191428,0 days 00:00:32.490015,10,0.8,10,500,5,COMPLETE
349,2419.96540335954,2023-01-31 04:10:03.888257,2023-01-31 04:10:26.842095,0 days 00:00:22.953838,10,0.8,10,500,5,COMPLETE
338,2419.96540335954,2023-01-31 04:04:47.971739,2023-01-31 04:05:11.420246,0 days 00:00:23.448507,10,0.8,10,500,5,COMPLETE
249,2419.96540335954,2023-01-31 03:21:42.876129,2023-01-31 03:22:04.723129,0 days 00:00:21.847000,10,0.8,10,500,15,COMPLETE
315,2419.96540335954,2023-01-31 03:53:53.709767,2023-01-31 03:54:16.419552,0 days 00:00:22.709785,10,0.8,10,500,5,COMPLETE
279,2419.96540335954,2023-01-31 03:36:06.204526,2023-01-31 03:36:29.079674,0 days 00:00:22.875148,10,0.8,20,500,20,COMPLETE
278,2419.96540335954,2023-01-31 03:35:23.505467,2023-01-31 03:35:48.982438,0 days 00:00:25.476971,10,0.8,10,500,5,COMPLETE
277,2419.96540335954,2023-01-31 03:34:54.047118,2023-01-31 03:35:17.360177,0 days 00:00:23.313059,10,0.8,10,500,5,COMPLETE
276,2419.96540335954,2023-01-31 03:34:26.599639,2023-01-31 03:34:49.311840,0 days 00:00:22.712201,10,0.8,10,500,5,COMPLETE
275,2419.96540335954,2023-01-31 03:34:01.478564,2023-01-31 03:34:22.342735,0 days 00:00:20.864171,10,0.8,10,500,20,COMPLETE
274,2419.96540335954,2023-01-31 03:33:32.815181,2023-01-31 03:33:57.496450,0 days 00:00:24.681269,10,0.8,10,500,5,COMPLETE
273,2419.96540335954,2023-01-31 03:32:59.373709,2023-01-31 03:33:28.603376,0 days 00:00:29.229667,10,0.8,10,500,5,COMPLETE
272,2419.96540335954,2023-01-31 03:32:34.137510,2023-01-31 03:32:55.387164,0 days 00:00:21.249654,10,0.8,10,500,10,COMPLETE
271,2419.96540335954,2023-01-31 03:32:03.521568,2023-01-31 03:32:29.517989,0 days 00:00:25.996421,10,0.8,10,500,5,COMPLETE
270,2419.96540335954,2023-01-31 03:31:24.526259,2023-01-31 03:31:58.780400,0 days 00:00:34.254141,10,0.8,10,500,5,COMPLETE
269,2419.96540335954,2023-01-31 03:30:58.879827,2023-01-31 03:31:20.409946,0 days 00:00:21.530119,10,0.8,10,500,5,COMPLETE
268,2419.96540335954,2023-01-31 03:30:32.655269,2023-01-31 03:30:54.136788,0 days 00:00:21.481519,10,0.8,10,500,20,COMPLETE
267,2419.96540335954,2023-01-31 03:30:07.557997,2023-01-31 03:30:28.680958,0 days 00:00:21.122961,10,0.8,10,500,15,COMPLETE
266,2419.96540335954,2023-01-31 03:29:36.237256,2023-01-31 03:30:01.648099,0 days 00:00:25.410843,10,0.8,10,500,5,COMPLETE
265,2419.96540335954,2023-01-31 03:29:07.055909,2023-01-31 03:29:32.266023,0 days 00:00:25.210114,10,0.8,10,500,5,COMPLETE
264,2419.96540335954,2023-01-31 03:28:38.894977,2023-01-31 03:29:02.026188,0 days 00:00:23.131211,10,0.8,10,500,5,COMPLETE
263,2419.96540335954,2023-01-31 03:28:12.481379,2023-01-31 03:28:34.300308,0 days 00:00:21.818929,10,0.8,10,500,20,COMPLETE
262,2419.96540335954,2023-01-31 03:27:47.289515,2023-01-31 03:28:07.969918,0 days 00:00:20.680403,10,0.8,10,500,5,COMPLETE
261,2419.96540335954,2023-01-31 03:27:15.908562,2023-01-31 03:27:42.575080,0 days 00:00:26.666518,10,0.8,10,500,5,COMPLETE
259,2419.96540335954,2023-01-31 03:26:25.330434,2023-01-31 03:26:47.228514,0 days 00:00:21.898080,10,0.8,10,500,5,COMPLETE
258,2419.96540335954,2023-01-31 03:25:58.906655,2023-01-31 03:26:21.180129,0 days 00:00:22.273474,10,0.8,10,500,20,COMPLETE
280,2419.96540335954,2023-01-31 03:36:35.539990,2023-01-31 03:36:56.959828,0 days 00:00:21.419838,10,0.8,10,500,5,COMPLETE
282,2419.96540335954,2023-01-31 03:37:29.082270,2023-01-31 03:37:54.791119,0 days 00:00:25.708849,10,0.8,10,500,20,COMPLETE
283,2419.96540335954,2023-01-31 03:38:01.618064,2023-01-31 03:38:23.972970,0 days 00:00:22.354906,10,0.8,10,500,5,COMPLETE
284,2419.96540335954,2023-01-31 03:38:32.777513,2023-01-31 03:38:54.858084,0 days 00:00:22.080571,10,0.8,10,500,5,COMPLETE
314,2419.96540335954,2023-01-31 03:53:27.326486,2023-01-31 03:53:49.211321,0 days 00:00:21.884835,10,0.8,10,500,5,COMPLETE
312,2419.96540335954,2023-01-31 03:52:27.580859,2023-01-31 03:52:50.771063,0 days 00:00:23.190204,10,0.8,10,500,5,COMPLETE
311,2419.96540335954,2023-01-31 03:52:01.284903,2023-01-31 03:52:22.805753,0 days 00:00:21.520850,10,0.8,10,500,5,COMPLETE
310,2419.96540335954,2023-01-31 03:51:35.109876,2023-01-31 03:51:57.129887,0 days 00:00:22.020011,10,0.8,10,500,5,COMPLETE
309,2419.96540335954,2023-01-31 03:50:55.918928,2023-01-31 03:51:30.787596,0 days 00:00:34.868668,10,0.8,10,500,5,COMPLETE
307,2419.96540335954,2023-01-31 03:50:04.384768,2023-01-31 03:50:25.542559,0 days 00:00:21.157791,10,0.8,10,500,5,COMPLETE
306,2419.96540335954,2023-01-31 03:49:38.056678,2023-01-31 03:49:59.505254,0 days 00:00:21.448576,10,0.8,10,500,20,COMPLETE
305,2419.96540335954,2023-01-31 03:49:11.463253,2023-01-31 03:49:33.828938,0 days 00:00:22.365685,10,0.8,10,500,5,COMPLETE
304,2419.96540335954,2023-01-31 03:48:39.098852,2023-01-31 03:49:04.655248,0 days 00:00:25.556396,10,0.8,10,500,5,COMPLETE
303,2419.96540335954,2023-01-31 03:48:12.827511,2023-01-31 03:48:34.426050,0 days 00:00:21.598539,10,0.8,10,500,5,COMPLETE
316,2419.96540335954,2023-01-31 03:54:21.333710,2023-01-31 03:54:42.833521,0 days 00:00:21.499811,10,0.8,10,500,5,COMPLETE
302,2419.96540335954,2023-01-31 03:47:42.243453,2023-01-31 03:48:06.429891,0 days 00:00:24.186438,10,0.8,10,500,5,COMPLETE
299,2419.96540335954,2023-01-31 03:46:03.227328,2023-01-31 03:46:26.031147,0 days 00:00:22.803819,10,0.8,10,500,5,COMPLETE
297,2419.96540335954,2023-01-31 03:45:05.022853,2023-01-31 03:45:26.555592,0 days 00:00:21.532739,10,0.8,10,500,20,COMPLETE
296,2419.96540335954,2023-01-31 03:44:35.111826,2023-01-31 03:44:59.004706,0 days 00:00:23.892880,10,0.8,10,500,5,COMPLETE
295,2419.96540335954,2023-01-31 03:44:06.440861,2023-01-31 03:44:28.833113,0 days 00:00:22.392252,10,0.8,10,500,5,COMPLETE
292,2419.96540335954,2023-01-31 03:42:36.339784,2023-01-31 03:42:59.356411,0 days 00:00:23.016627,10,0.8,10,500,5,COMPLETE
291,2419.96540335954,2023-01-31 03:42:09.933534,2023-01-31 03:42:32.172811,0 days 00:00:22.239277,10,0.8,10,500,5,COMPLETE
